Datas,Cidades,Estados,Geocode
2020-06-25,propriá,SE,2805703.0
2020-06-25,remanso,BA,2926004.0
2020-06-25,rio grande,RS,4315602.0
2020-06-25,salvador,BA,2927408.0
2020-06-25,salvaterra,PA,1506302.0
2020-06-25,santa cruz do arari,PA,1506401.0
2020-06-25,santa isabel do rio negro,AM,1303601.0
2020-06-25,santana do são francisco,SE,2806404.0
2020-06-25,santana,AP,1600600.0
2020-06-25,santarém,PA,1506807.0
2020-06-25,santo antônio do içá,AM,1303700.0
2020-06-25,senador josé porfírio,PA,1507805.0
2020-06-25,sento sé,BA,2930204.0
2020-06-25,soure,PA,1507904.0
2020-06-25,são gabriel da cachoeira,AM,1303809.0
2020-06-25,são josé de ribamar,MA,2111201.0
2020-06-25,são josé do norte,RS,4318507.0
2020-06-25,são luís,MA,2111300.0
2020-06-25,são paulo de olivença,AM,1303908.0
2020-06-25,são sebastião da boa vista,PA,1507706.0
2020-06-25,são sebastião do uatumã,AM,1303957.0
2020-06-25,tabatinga,AM,1304062.0
2020-06-25,tapauá,AM,1304104.0
2020-06-25,tefé,AM,1304203.0
2020-06-25,terra santa,PA,1507979.0
2020-06-25,tonantins,AM,1304237.0
2020-06-25,traipu,AL,2709202.0
2020-06-25,tucumã,PA,1508084.0
2020-06-25,tucuruí,PA,1508100.0
2020-06-25,uarini,AM,1304260.0
2020-06-25,urucará,AM,1304302.0
2020-06-25,urucurituba,AM,1304401.0
2020-06-25,vera cruz,BA,2933208.0
2020-06-25,viseu,PA,1508308.0
2020-06-25,vitória do jari,AP,1600808.0
2020-06-25,vitória do xingu,PA,1508357.0
2020-06-25,xique-xique,BA,2933604.0
2020-06-25,óbidos,PA,1505106.0
2020-06-26,abaetetuba,PA,1500107.0
2020-06-26,acará,PA,1500206.0
2020-06-26,afuá,PA,1500305.0
2020-06-26,alcântara,MA,2100204.0
2020-06-26,alenquer,PA,1500404.0
2020-06-26,almeirim,PA,1500503.0
2020-06-26,altamira,PA,1500602.0
2020-06-26,alvarães,AM,1300029.0
2020-06-26,amaturá,AM,1300060.0
2020-06-26,anajás,PA,1500701.0
2020-06-26,anamã,AM,1300086.0
2020-06-26,angra dos reis,RJ,3300100.0
2020-06-26,anori,AM,1300102.0
2020-06-26,areia branca,RN,2401107.0
2020-06-26,autazes,AM,1300300.0
2020-06-26,aveiro,PA,1501006.0
2020-06-26,bagre,PA,1501105.0
2020-06-26,baião,PA,1501204.0
2020-06-26,barcarena,PA,1501303.0
2020-06-26,barcelos,AM,1300409.0
2020-06-26,barreirinha,AM,1300508.0
2020-06-26,belém,PA,1501402.0
2020-06-26,benjamin constant,AM,1300607.0
2020-06-26,beruri,AM,1300631.0
2020-06-26,boa vista do ramos,AM,1300680.0
2020-06-26,borba,AM,1300805.0
2020-06-26,brejo grande,SE,2800704.0
2020-06-26,breves,PA,1501808.0
2020-06-26,caapiranga,AM,1300839.0
2020-06-26,cachoeira do arari,PA,1502004.0
2020-06-26,cametá,PA,1502103.0
2020-06-26,canutama,AM,1300904.0
2020-06-26,carauari,AM,1301001.0
2020-06-26,careiro da várzea,AM,1301159.0
2020-06-26,carutapera,MA,2102903.0
2020-06-26,chaves,PA,1502509.0
2020-06-26,coari,AM,1301209.0
2020-06-26,codajás,AM,1301308.0
2020-06-26,cruzeiro do sul,AC,1200203.0
2020-06-26,curralinho,PA,1502806.0
2020-06-26,curuá,PA,1502855.0
2020-06-26,faro,PA,1503002.0
2020-06-26,fonte boa,AM,1301605.0
2020-06-26,gararu,SE,2802403.0
2020-06-26,grossos,RN,2404408.0
2020-06-26,guaraqueçaba,PR,4109500.0
2020-06-26,gurupá,PA,1503101.0
2020-06-26,humaitá,AM,1301704.0
2020-06-26,humberto de campos,MA,2105005.0
2020-06-26,icatu,MA,2105104.0
2020-06-26,imaruí,SC,4207205.0
2020-06-26,imperatriz,MA,2105302.0
2020-06-26,ipixuna,AM,1301803.0
2020-06-26,iranduba,AM,1301852.0
2020-06-26,itacoatiara,AM,1301902.0
2020-06-26,itaguatins,TO,1710706.0
2020-06-26,itaituba,PA,1503606.0
2020-06-26,itaparica,BA,2916104.0
2020-06-26,itapiranga,AM,1302009.0
2020-06-26,itapiranga,SC,4208401.0
2020-06-26,japurá,AM,1302108.0
2020-06-26,juruti,PA,1503903.0
2020-06-26,juruá,AM,1302207.0
2020-06-26,jutaí,AM,1302306.0
2020-06-26,laguna,SC,4209409.0
2020-06-26,laranjal do jari,AP,1600279.0
2020-06-26,limoeiro do ajuru,PA,1504000.0
2020-06-26,lábrea,AM,1302405.0
2020-06-26,macapá,AP,1600303.0
2020-06-26,manacapuru,AM,1302504.0
2020-06-26,manaquiri,AM,1302553.0
2020-06-26,manaus,AM,1302603.0
2020-06-26,mangaratiba,RJ,3302601.0
2020-06-26,manicoré,AM,1302702.0
2020-06-26,marabá,PA,1504208.0
2020-06-26,maraã,AM,1302801.0
2020-06-26,marechal thaumaturgo,AC,1200351.0
2020-06-26,maués,AM,1302900.0
2020-06-26,melgaço,PA,1504505.0
2020-06-26,mocajuba,PA,1504604.0
2020-06-26,monte alegre,PA,1504802.0
2020-06-26,muaná,PA,1504901.0
2020-06-26,nhamundá,AM,1303007.0
2020-06-26,nova olinda do norte,AM,1303106.0
2020-06-26,novo airão,AM,1303205.0
2020-06-26,novo aripuanã,AM,1303304.0
2020-06-26,oeiras do pará,PA,1505205.0
2020-06-26,oriximiná,PA,1505304.0
2020-06-26,paranaguá,PR,4118204.0
2020-06-26,parintins,AM,1303403.0
2020-06-26,penedo,AL,2706703.0
2020-06-26,piaçabuçu,AL,2706802.0
2020-06-26,pilão arcado,BA,2924405.0
2020-06-26,pinheirinho do vale,RS,4314498.0
2020-06-26,ponta de pedras,PA,1505700.0
2020-06-26,portel,PA,1505809.0
2020-06-26,porto real do colégio,AL,2707503.0
2020-06-26,porto velho,RO,1100205.0
2020-06-26,porto walter,AC,1200393.0
2020-06-26,porto de moz,PA,1505908.0
2020-06-26,prainha,PA,1506005.0
2020-06-26,primeira cruz,MA,2109403.0
2020-06-26,propriá,SE,2805703.0
2020-06-26,remanso,BA,2926004.0
2020-06-26,rio grande,RS,4315602.0
2020-06-26,salvador,BA,2927408.0
2020-06-26,salvaterra,PA,1506302.0
2020-06-26,santa cruz do arari,PA,1506401.0
2020-06-26,santa isabel do rio negro,AM,1303601.0
2020-06-26,santana do são francisco,SE,2806404.0
2020-06-26,santana,AP,1600600.0
2020-06-26,santarém,PA,1506807.0
2020-06-26,santo antônio do içá,AM,1303700.0
2020-06-26,senador josé porfírio,PA,1507805.0
2020-06-26,sento sé,BA,2930204.0
2020-06-26,soure,PA,1507904.0
2020-06-26,são gabriel da cachoeira,AM,1303809.0
2020-06-26,são josé de ribamar,MA,2111201.0
2020-06-26,são josé do norte,RS,4318507.0
2020-06-26,são luís,MA,2111300.0
2020-06-26,são paulo de olivença,AM,1303908.0
2020-06-26,são sebastião da boa vista,PA,1507706.0
2020-06-26,são sebastião do uatumã,AM,1303957.0
2020-06-26,tabatinga,AM,1304062.0
2020-06-26,tapauá,AM,1304104.0
2020-06-26,tefé,AM,1304203.0
2020-06-26,terra santa,PA,1507979.0
2020-06-26,tonantins,AM,1304237.0
2020-06-26,traipu,AL,2709202.0
2020-06-26,tucumã,PA,1508084.0
2020-06-26,tucuruí,PA,1508100.0
2020-06-26,uarini,AM,1304260.0
2020-06-26,urucará,AM,1304302.0
2020-06-26,urucurituba,AM,1304401.0
2020-06-26,vera cruz,BA,2933208.0
2020-06-26,viseu,PA,1508308.0
2020-06-26,vitória do jari,AP,1600808.0
2020-06-26,vitória do xingu,PA,1508357.0
2020-06-26,xique-xique,BA,2933604.0
2020-06-26,óbidos,PA,1505106.0
2020-06-27,abaetetuba,PA,1500107.0
2020-06-27,acará,PA,1500206.0
2020-06-27,afuá,PA,1500305.0
2020-06-27,alcântara,MA,2100204.0
2020-06-27,alenquer,PA,1500404.0
2020-06-27,almeirim,PA,1500503.0
2020-06-27,altamira,PA,1500602.0
2020-06-27,alvarães,AM,1300029.0
2020-06-27,amaturá,AM,1300060.0
2020-06-27,anajás,PA,1500701.0
2020-06-27,anamã,AM,1300086.0
2020-06-27,angra dos reis,RJ,3300100.0
2020-06-27,anori,AM,1300102.0
2020-06-27,areia branca,RN,2401107.0
2020-06-27,autazes,AM,1300300.0
2020-06-27,aveiro,PA,1501006.0
2020-06-27,bagre,PA,1501105.0
2020-06-27,baião,PA,1501204.0
2020-06-27,barcarena,PA,1501303.0
2020-06-27,barcelos,AM,1300409.0
2020-06-27,barreirinha,AM,1300508.0
2020-06-27,belém,PA,1501402.0
2020-06-27,benjamin constant,AM,1300607.0
2020-06-27,beruri,AM,1300631.0
2020-06-27,boa vista do ramos,AM,1300680.0
2020-06-27,borba,AM,1300805.0
2020-06-27,brejo grande,SE,2800704.0
2020-06-27,breves,PA,1501808.0
2020-06-27,caapiranga,AM,1300839.0
2020-06-27,cachoeira do arari,PA,1502004.0
2020-06-27,cametá,PA,1502103.0
2020-06-27,canutama,AM,1300904.0
2020-06-27,carauari,AM,1301001.0
2020-06-27,careiro da várzea,AM,1301159.0
2020-06-27,carutapera,MA,2102903.0
2020-06-27,chaves,PA,1502509.0
2020-06-27,coari,AM,1301209.0
2020-06-27,codajás,AM,1301308.0
2020-06-27,cruzeiro do sul,AC,1200203.0
2020-06-27,curralinho,PA,1502806.0
2020-06-27,curuá,PA,1502855.0
2020-06-27,faro,PA,1503002.0
2020-06-27,fonte boa,AM,1301605.0
2020-06-27,gararu,SE,2802403.0
2020-06-27,grossos,RN,2404408.0
2020-06-27,guaraqueçaba,PR,4109500.0
2020-06-27,gurupá,PA,1503101.0
2020-06-27,humaitá,AM,1301704.0
2020-06-27,humberto de campos,MA,2105005.0
2020-06-27,icatu,MA,2105104.0
2020-06-27,imaruí,SC,4207205.0
2020-06-27,imperatriz,MA,2105302.0
2020-06-27,ipixuna,AM,1301803.0
2020-06-27,iranduba,AM,1301852.0
2020-06-27,itacoatiara,AM,1301902.0
2020-06-27,itaguatins,TO,1710706.0
2020-06-27,itaituba,PA,1503606.0
2020-06-27,itaparica,BA,2916104.0
2020-06-27,itapiranga,AM,1302009.0
2020-06-27,itapiranga,SC,4208401.0
2020-06-27,japurá,AM,1302108.0
2020-06-27,juruti,PA,1503903.0
2020-06-27,juruá,AM,1302207.0
2020-06-27,jutaí,AM,1302306.0
2020-06-27,laguna,SC,4209409.0
2020-06-27,laranjal do jari,AP,1600279.0
2020-06-27,limoeiro do ajuru,PA,1504000.0
2020-06-27,lábrea,AM,1302405.0
2020-06-27,macapá,AP,1600303.0
2020-06-27,manacapuru,AM,1302504.0
2020-06-27,manaquiri,AM,1302553.0
2020-06-27,manaus,AM,1302603.0
2020-06-27,mangaratiba,RJ,3302601.0
2020-06-27,manicoré,AM,1302702.0
2020-06-27,marabá,PA,1504208.0
2020-06-27,maraã,AM,1302801.0
2020-06-27,marechal thaumaturgo,AC,1200351.0
2020-06-27,maués,AM,1302900.0
2020-06-27,melgaço,PA,1504505.0
2020-06-27,mocajuba,PA,1504604.0
2020-06-27,monte alegre,PA,1504802.0
2020-06-27,muaná,PA,1504901.0
2020-06-27,nhamundá,AM,1303007.0
2020-06-27,nova olinda do norte,AM,1303106.0
2020-06-27,novo airão,AM,1303205.0
2020-06-27,novo aripuanã,AM,1303304.0
2020-06-27,oeiras do pará,PA,1505205.0
2020-06-27,oriximiná,PA,1505304.0
2020-06-27,paranaguá,PR,4118204.0
2020-06-27,parintins,AM,1303403.0
2020-06-27,penedo,AL,2706703.0
2020-06-27,piaçabuçu,AL,2706802.0
2020-06-27,pilão arcado,BA,2924405.0
2020-06-27,pinheirinho do vale,RS,4314498.0
2020-06-27,ponta de pedras,PA,1505700.0
2020-06-27,portel,PA,1505809.0
2020-06-27,porto real do colégio,AL,2707503.0
2020-06-27,porto velho,RO,1100205.0
2020-06-27,porto walter,AC,1200393.0
2020-06-27,porto de moz,PA,1505908.0
2020-06-27,prainha,PA,1506005.0
2020-06-27,primeira cruz,MA,2109403.0
2020-06-27,propriá,SE,2805703.0
2020-06-27,remanso,BA,2926004.0
2020-06-27,rio grande,RS,4315602.0
2020-06-27,salvador,BA,2927408.0
2020-06-27,salvaterra,PA,1506302.0
2020-06-27,santa cruz do arari,PA,1506401.0
2020-06-27,santa isabel do rio negro,AM,1303601.0
2020-06-27,santana do são francisco,SE,2806404.0
2020-06-27,santana,AP,1600600.0
2020-06-27,santarém,PA,1506807.0
2020-06-27,santo antônio do içá,AM,1303700.0
2020-06-27,senador josé porfírio,PA,1507805.0
2020-06-27,sento sé,BA,2930204.0
2020-06-27,soure,PA,1507904.0
2020-06-27,são gabriel da cachoeira,AM,1303809.0
2020-06-27,são josé de ribamar,MA,2111201.0
2020-06-27,são josé do norte,RS,4318507.0
2020-06-27,são luís,MA,2111300.0
2020-06-27,são paulo de olivença,AM,1303908.0
2020-06-27,são sebastião da boa vista,PA,1507706.0
2020-06-27,são sebastião do uatumã,AM,1303957.0
2020-06-27,tabatinga,AM,1304062.0
2020-06-27,tapauá,AM,1304104.0
2020-06-27,tefé,AM,1304203.0
2020-06-27,terra santa,PA,1507979.0
2020-06-27,tonantins,AM,1304237.0
2020-06-27,traipu,AL,2709202.0
2020-06-27,tucumã,PA,1508084.0
2020-06-27,tucuruí,PA,1508100.0
2020-06-27,uarini,AM,1304260.0
2020-06-27,urucará,AM,1304302.0
2020-06-27,urucurituba,AM,1304401.0
2020-06-27,vera cruz,BA,2933208.0
2020-06-27,viseu,PA,1508308.0
2020-06-27,vitória do jari,AP,1600808.0
2020-06-27,vitória do xingu,PA,1508357.0
2020-06-27,xique-xique,BA,2933604.0
2020-06-27,óbidos,PA,1505106.0
2020-06-28,abaetetuba,PA,1500107.0
2020-06-28,acará,PA,1500206.0
2020-06-28,afuá,PA,1500305.0
2020-06-28,alcântara,MA,2100204.0
2020-06-28,alenquer,PA,1500404.0
2020-06-28,almeirim,PA,1500503.0
2020-06-28,altamira,PA,1500602.0
2020-06-28,alvarães,AM,1300029.0
2020-06-28,amaturá,AM,1300060.0
2020-06-28,anajás,PA,1500701.0
2020-06-28,anamã,AM,1300086.0
2020-06-28,angra dos reis,RJ,3300100.0
2020-06-28,anori,AM,1300102.0
2020-06-28,areia branca,RN,2401107.0
2020-06-28,autazes,AM,1300300.0
2020-06-28,aveiro,PA,1501006.0
2020-06-28,bagre,PA,1501105.0
2020-06-28,baião,PA,1501204.0
2020-06-28,barcarena,PA,1501303.0
2020-06-28,barcelos,AM,1300409.0
2020-06-28,barreirinha,AM,1300508.0
2020-06-28,belém,PA,1501402.0
2020-06-28,benjamin constant,AM,1300607.0
2020-06-28,beruri,AM,1300631.0
2020-06-28,boa vista do ramos,AM,1300680.0
2020-06-28,borba,AM,1300805.0
2020-06-28,brejo grande,SE,2800704.0
2020-06-28,breves,PA,1501808.0
2020-06-28,caapiranga,AM,1300839.0
2020-06-28,cachoeira do arari,PA,1502004.0
2020-06-28,cametá,PA,1502103.0
2020-06-28,canutama,AM,1300904.0
2020-06-28,carauari,AM,1301001.0
2020-06-28,careiro da várzea,AM,1301159.0
2020-06-28,carutapera,MA,2102903.0
2020-06-28,chaves,PA,1502509.0
2020-06-28,coari,AM,1301209.0
2020-06-28,codajás,AM,1301308.0
2020-06-28,cruzeiro do sul,AC,1200203.0
2020-06-28,curralinho,PA,1502806.0
2020-06-28,curuá,PA,1502855.0
2020-06-28,faro,PA,1503002.0
2020-06-28,fonte boa,AM,1301605.0
2020-06-28,gararu,SE,2802403.0
2020-06-28,grossos,RN,2404408.0
2020-06-28,guaraqueçaba,PR,4109500.0
2020-06-28,gurupá,PA,1503101.0
2020-06-28,humaitá,AM,1301704.0
2020-06-28,humberto de campos,MA,2105005.0
2020-06-28,icatu,MA,2105104.0
2020-06-28,imaruí,SC,4207205.0
2020-06-28,imperatriz,MA,2105302.0
2020-06-28,ipixuna,AM,1301803.0
2020-06-28,iranduba,AM,1301852.0
2020-06-28,itacoatiara,AM,1301902.0
2020-06-28,itaguatins,TO,1710706.0
2020-06-28,itaituba,PA,1503606.0
2020-06-28,itaparica,BA,2916104.0
2020-06-28,itapiranga,AM,1302009.0
2020-06-28,itapiranga,SC,4208401.0
2020-06-28,japurá,AM,1302108.0
2020-06-28,juruti,PA,1503903.0
2020-06-28,juruá,AM,1302207.0
2020-06-28,jutaí,AM,1302306.0
2020-06-28,laguna,SC,4209409.0
2020-06-28,laranjal do jari,AP,1600279.0
2020-06-28,limoeiro do ajuru,PA,1504000.0
2020-06-28,lábrea,AM,1302405.0
2020-06-28,macapá,AP,1600303.0
2020-06-28,manacapuru,AM,1302504.0
2020-06-28,manaquiri,AM,1302553.0
2020-06-28,manaus,AM,1302603.0
2020-06-28,mangaratiba,RJ,3302601.0
2020-06-28,manicoré,AM,1302702.0
2020-06-28,marabá,PA,1504208.0
2020-06-28,maraã,AM,1302801.0
2020-06-28,marechal thaumaturgo,AC,1200351.0
2020-06-28,maués,AM,1302900.0
2020-06-28,melgaço,PA,1504505.0
2020-06-28,mocajuba,PA,1504604.0
2020-06-28,monte alegre,PA,1504802.0
2020-06-28,muaná,PA,1504901.0
2020-06-28,nhamundá,AM,1303007.0
2020-06-28,nova olinda do norte,AM,1303106.0
2020-06-28,novo airão,AM,1303205.0
2020-06-28,novo aripuanã,AM,1303304.0
2020-06-28,oeiras do pará,PA,1505205.0
2020-06-28,oriximiná,PA,1505304.0
2020-06-28,paranaguá,PR,4118204.0
2020-06-28,parintins,AM,1303403.0
2020-06-28,penedo,AL,2706703.0
2020-06-28,piaçabuçu,AL,2706802.0
2020-06-28,pilão arcado,BA,2924405.0
2020-06-28,pinheirinho do vale,RS,4314498.0
2020-06-28,ponta de pedras,PA,1505700.0
2020-06-28,portel,PA,1505809.0
2020-06-28,porto real do colégio,AL,2707503.0
2020-06-28,porto velho,RO,1100205.0
2020-06-28,porto walter,AC,1200393.0
2020-06-28,porto de moz,PA,1505908.0
2020-06-28,prainha,PA,1506005.0
2020-06-28,primeira cruz,MA,2109403.0
2020-06-28,propriá,SE,2805703.0
2020-06-28,remanso,BA,2926004.0
2020-06-28,rio grande,RS,4315602.0
2020-06-28,salvador,BA,2927408.0
2020-06-28,salvaterra,PA,1506302.0
2020-06-28,santa cruz do arari,PA,1506401.0
2020-06-28,santa isabel do rio negro,AM,1303601.0
2020-06-28,santana do são francisco,SE,2806404.0
2020-06-28,santana,AP,1600600.0
2020-06-28,santarém,PA,1506807.0
2020-06-28,santo antônio do içá,AM,1303700.0
2020-06-28,senador josé porfírio,PA,1507805.0
2020-06-28,sento sé,BA,2930204.0
2020-06-28,soure,PA,1507904.0
2020-06-28,são gabriel da cachoeira,AM,1303809.0
2020-06-28,são josé de ribamar,MA,2111201.0
2020-06-28,são josé do norte,RS,4318507.0
2020-06-28,são luís,MA,2111300.0
2020-06-28,são paulo de olivença,AM,1303908.0
2020-06-28,são sebastião da boa vista,PA,1507706.0
2020-06-28,são sebastião do uatumã,AM,1303957.0
2020-06-28,tabatinga,AM,1304062.0
2020-06-28,tapauá,AM,1304104.0
2020-06-28,tefé,AM,1304203.0
2020-06-28,terra santa,PA,1507979.0
2020-06-28,tonantins,AM,1304237.0
2020-06-28,traipu,AL,2709202.0
2020-06-28,tucumã,PA,1508084.0
2020-06-28,tucuruí,PA,1508100.0
2020-06-28,uarini,AM,1304260.0
2020-06-28,urucará,AM,1304302.0
2020-06-28,urucurituba,AM,1304401.0
2020-06-28,vera cruz,BA,2933208.0
2020-06-28,viseu,PA,1508308.0
2020-06-28,vitória do jari,AP,1600808.0
2020-06-28,vitória do xingu,PA,1508357.0
2020-06-28,xique-xique,BA,2933604.0
2020-06-28,óbidos,PA,1505106.0
2020-06-29,abaetetuba,PA,1500107.0
2020-06-29,acará,PA,1500206.0
2020-06-29,afuá,PA,1500305.0
2020-06-29,alcântara,MA,2100204.0
2020-06-29,alenquer,PA,1500404.0
2020-06-29,almeirim,PA,1500503.0
2020-06-29,altamira,PA,1500602.0
2020-06-29,alvarães,AM,1300029.0
2020-06-29,amaturá,AM,1300060.0
2020-06-29,anajás,PA,1500701.0
2020-06-29,anamã,AM,1300086.0
2020-06-29,angra dos reis,RJ,3300100.0
2020-06-29,anori,AM,1300102.0
2020-06-29,areia branca,RN,2401107.0
2020-06-29,autazes,AM,1300300.0
2020-06-29,aveiro,PA,1501006.0
2020-06-29,bagre,PA,1501105.0
2020-06-29,baião,PA,1501204.0
2020-06-29,barcarena,PA,1501303.0
2020-06-29,barcelos,AM,1300409.0
2020-06-29,barreirinha,AM,1300508.0
2020-06-29,belém,PA,1501402.0
2020-06-29,benjamin constant,AM,1300607.0
2020-06-29,beruri,AM,1300631.0
2020-06-29,boa vista do ramos,AM,1300680.0
2020-06-29,borba,AM,1300805.0
2020-06-29,brejo grande,SE,2800704.0
2020-06-29,breves,PA,1501808.0
2020-06-29,caapiranga,AM,1300839.0
2020-06-29,cachoeira do arari,PA,1502004.0
2020-06-29,cametá,PA,1502103.0
2020-06-29,canutama,AM,1300904.0
2020-06-29,carauari,AM,1301001.0
2020-06-29,careiro da várzea,AM,1301159.0
2020-06-29,carutapera,MA,2102903.0
2020-06-29,chaves,PA,1502509.0
2020-06-29,coari,AM,1301209.0
2020-06-29,codajás,AM,1301308.0
2020-06-29,cruzeiro do sul,AC,1200203.0
2020-06-29,curralinho,PA,1502806.0
2020-06-29,curuá,PA,1502855.0
2020-06-29,faro,PA,1503002.0
2020-06-29,fonte boa,AM,1301605.0
2020-06-29,gararu,SE,2802403.0
2020-06-29,grossos,RN,2404408.0
2020-06-29,guaraqueçaba,PR,4109500.0
2020-06-29,gurupá,PA,1503101.0
2020-06-29,humaitá,AM,1301704.0
2020-06-29,humberto de campos,MA,2105005.0
2020-06-29,icatu,MA,2105104.0
2020-06-29,imaruí,SC,4207205.0
2020-06-29,imperatriz,MA,2105302.0
2020-06-29,ipixuna,AM,1301803.0
2020-06-29,iranduba,AM,1301852.0
2020-06-29,itacoatiara,AM,1301902.0
2020-06-29,itaguatins,TO,1710706.0
2020-06-29,itaituba,PA,1503606.0
2020-06-29,itaparica,BA,2916104.0
2020-06-29,itapiranga,AM,1302009.0
2020-06-29,itapiranga,SC,4208401.0
2020-06-29,japurá,AM,1302108.0
2020-06-29,juruti,PA,1503903.0
2020-06-29,juruá,AM,1302207.0
2020-06-29,jutaí,AM,1302306.0
2020-06-29,laguna,SC,4209409.0
2020-06-29,laranjal do jari,AP,1600279.0
2020-06-29,limoeiro do ajuru,PA,1504000.0
2020-06-29,lábrea,AM,1302405.0
2020-06-29,macapá,AP,1600303.0
2020-06-29,manacapuru,AM,1302504.0
2020-06-29,manaquiri,AM,1302553.0
2020-06-29,manaus,AM,1302603.0
2020-06-29,mangaratiba,RJ,3302601.0
2020-06-29,manicoré,AM,1302702.0
2020-06-29,marabá,PA,1504208.0
2020-06-29,maraã,AM,1302801.0
2020-06-29,marechal thaumaturgo,AC,1200351.0
2020-06-29,maués,AM,1302900.0
2020-06-29,melgaço,PA,1504505.0
2020-06-29,mocajuba,PA,1504604.0
2020-06-29,monte alegre,PA,1504802.0
2020-06-29,muaná,PA,1504901.0
2020-06-29,nhamundá,AM,1303007.0
2020-06-29,nova olinda do norte,AM,1303106.0
2020-06-29,novo airão,AM,1303205.0
2020-06-29,novo aripuanã,AM,1303304.0
2020-06-29,oeiras do pará,PA,1505205.0
2020-06-29,oriximiná,PA,1505304.0
2020-06-29,paranaguá,PR,4118204.0
2020-06-29,parintins,AM,1303403.0
2020-06-29,penedo,AL,2706703.0
2020-06-29,piaçabuçu,AL,2706802.0
2020-06-29,pilão arcado,BA,2924405.0
2020-06-29,pinheirinho do vale,RS,4314498.0
2020-06-29,ponta de pedras,PA,1505700.0
2020-06-29,portel,PA,1505809.0
2020-06-29,porto real do colégio,AL,2707503.0
2020-06-29,porto velho,RO,1100205.0
2020-06-29,porto walter,AC,1200393.0
2020-06-29,porto de moz,PA,1505908.0
2020-06-29,prainha,PA,1506005.0
2020-06-29,primeira cruz,MA,2109403.0
2020-06-29,propriá,SE,2805703.0
2020-06-29,remanso,BA,2926004.0
2020-06-29,rio grande,RS,4315602.0
2020-06-29,salvador,BA,2927408.0
2020-06-29,salvaterra,PA,1506302.0
2020-06-29,santa cruz do arari,PA,1506401.0
2020-06-29,santa isabel do rio negro,AM,1303601.0
2020-06-29,santana do são francisco,SE,2806404.0
2020-06-29,santana,AP,1600600.0
2020-06-29,santarém,PA,1506807.0
2020-06-29,santo antônio do içá,AM,1303700.0
2020-06-29,senador josé porfírio,PA,1507805.0
2020-06-29,sento sé,BA,2930204.0
2020-06-29,soure,PA,1507904.0
2020-06-29,são gabriel da cachoeira,AM,1303809.0
2020-06-29,são josé de ribamar,MA,2111201.0
2020-06-29,são josé do norte,RS,4318507.0
2020-06-29,são luís,MA,2111300.0
2020-06-29,são paulo de olivença,AM,1303908.0
2020-06-29,são sebastião da boa vista,PA,1507706.0
2020-06-29,são sebastião do uatumã,AM,1303957.0
2020-06-29,tabatinga,AM,1304062.0
2020-06-29,tapauá,AM,1304104.0
2020-06-29,tefé,AM,1304203.0
2020-06-29,terra santa,PA,1507979.0
2020-06-29,tonantins,AM,1304237.0
2020-06-29,traipu,AL,2709202.0
2020-06-29,tucumã,PA,1508084.0
2020-06-29,tucuruí,PA,1508100.0
2020-06-29,uarini,AM,1304260.0
2020-06-29,urucará,AM,1304302.0
2020-06-29,urucurituba,AM,1304401.0
2020-06-29,vera cruz,BA,2933208.0
2020-06-29,viseu,PA,1508308.0
2020-06-29,vitória do jari,AP,1600808.0
2020-06-29,vitória do xingu,PA,1508357.0
2020-06-29,xique-xique,BA,2933604.0
2020-06-29,óbidos,PA,1505106.0
2020-06-30,abaetetuba,PA,1500107.0
2020-06-30,acará,PA,1500206.0
2020-06-30,afuá,PA,1500305.0
2020-06-30,alcântara,MA,2100204.0
2020-06-30,alenquer,PA,1500404.0
2020-06-30,almeirim,PA,1500503.0
2020-06-30,altamira,PA,1500602.0
2020-06-30,alvarães,AM,1300029.0
2020-06-30,amaturá,AM,1300060.0
2020-06-30,anajás,PA,1500701.0
2020-06-30,anamã,AM,1300086.0
2020-06-30,angra dos reis,RJ,3300100.0
2020-06-30,anori,AM,1300102.0
2020-06-30,areia branca,RN,2401107.0
2020-06-30,autazes,AM,1300300.0
2020-06-30,aveiro,PA,1501006.0
2020-06-30,bagre,PA,1501105.0
2020-06-30,baião,PA,1501204.0
2020-06-30,barcarena,PA,1501303.0
2020-06-30,barcelos,AM,1300409.0
2020-06-30,barreirinha,AM,1300508.0
2020-06-30,belém,PA,1501402.0
2020-06-30,benjamin constant,AM,1300607.0
2020-06-30,beruri,AM,1300631.0
2020-06-30,boa vista do ramos,AM,1300680.0
2020-06-30,borba,AM,1300805.0
2020-06-30,brejo grande,SE,2800704.0
2020-06-30,breves,PA,1501808.0
2020-06-30,caapiranga,AM,1300839.0
2020-06-30,cachoeira do arari,PA,1502004.0
2020-06-30,cametá,PA,1502103.0
2020-06-30,canutama,AM,1300904.0
2020-06-30,carauari,AM,1301001.0
2020-06-30,careiro da várzea,AM,1301159.0
2020-06-30,carutapera,MA,2102903.0
2020-06-30,chaves,PA,1502509.0
2020-06-30,coari,AM,1301209.0
2020-06-30,codajás,AM,1301308.0
2020-06-30,cruzeiro do sul,AC,1200203.0
2020-06-30,curralinho,PA,1502806.0
2020-06-30,curuá,PA,1502855.0
2020-06-30,faro,PA,1503002.0
2020-06-30,fonte boa,AM,1301605.0
2020-06-30,gararu,SE,2802403.0
2020-06-30,grossos,RN,2404408.0
2020-06-30,guaraqueçaba,PR,4109500.0
2020-06-30,gurupá,PA,1503101.0
