Datas,Cidades,Estados,Geocode
2020-03-29,salvador,BA,2927408.0
2020-03-29,santo antônio do içá,AM,1303700.0
2020-03-29,são luís,MA,2111300.0
2020-03-30,angra dos reis,RJ,3300100.0
2020-03-30,anori,AM,1300102.0
2020-03-30,belém,PA,1501402.0
2020-03-30,itacoatiara,AM,1301902.0
2020-03-30,itaituba,PA,1503606.0
2020-03-30,laguna,SC,4209409.0
2020-03-30,macapá,AP,1600303.0
2020-03-30,manacapuru,AM,1302504.0
2020-03-30,manaus,AM,1302603.0
2020-03-30,mangaratiba,RJ,3302601.0
2020-03-30,marabá,PA,1504208.0
2020-03-30,novo airão,AM,1303205.0
2020-03-30,parintins,AM,1303403.0
2020-03-30,porto real do colégio,AL,2707503.0
2020-03-30,porto velho,RO,1100205.0
2020-03-30,propriá,SE,2805703.0
2020-03-30,rio grande,RS,4315602.0
2020-03-30,salvador,BA,2927408.0
2020-03-30,santo antônio do içá,AM,1303700.0
2020-03-30,são luís,MA,2111300.0
2020-03-31,abaetetuba,PA,1500107.0
2020-03-31,angra dos reis,RJ,3300100.0
2020-03-31,anori,AM,1300102.0
2020-03-31,belém,PA,1501402.0
2020-03-31,careiro da várzea,AM,1301159.0
2020-03-31,itacoatiara,AM,1301902.0
2020-03-31,itaituba,PA,1503606.0
2020-03-31,laguna,SC,4209409.0
2020-03-31,macapá,AP,1600303.0
2020-03-31,manacapuru,AM,1302504.0
2020-03-31,manaus,AM,1302603.0
2020-03-31,mangaratiba,RJ,3302601.0
2020-03-31,marabá,PA,1504208.0
2020-03-31,novo airão,AM,1303205.0
2020-03-31,parintins,AM,1303403.0
2020-03-31,porto real do colégio,AL,2707503.0
2020-03-31,porto velho,RO,1100205.0
2020-03-31,propriá,SE,2805703.0
2020-03-31,rio grande,RS,4315602.0
2020-03-31,salvador,BA,2927408.0
2020-03-31,santo antônio do içá,AM,1303700.0
2020-03-31,são luís,MA,2111300.0
2020-03-31,tucuruí,PA,1508100.0
2020-04-01,abaetetuba,PA,1500107.0
2020-04-01,angra dos reis,RJ,3300100.0
2020-04-01,anori,AM,1300102.0
2020-04-01,barcarena,PA,1501303.0
2020-04-01,belém,PA,1501402.0
2020-04-01,careiro da várzea,AM,1301159.0
2020-04-01,imperatriz,MA,2105302.0
2020-04-01,itacoatiara,AM,1301902.0
2020-04-01,itaituba,PA,1503606.0
2020-04-01,laguna,SC,4209409.0
2020-04-01,macapá,AP,1600303.0
2020-04-01,manacapuru,AM,1302504.0
2020-04-01,manaus,AM,1302603.0
2020-04-01,mangaratiba,RJ,3302601.0
2020-04-01,marabá,PA,1504208.0
2020-04-01,novo airão,AM,1303205.0
2020-04-01,parintins,AM,1303403.0
2020-04-01,porto real do colégio,AL,2707503.0
2020-04-01,porto velho,RO,1100205.0
2020-04-01,propriá,SE,2805703.0
2020-04-01,rio grande,RS,4315602.0
2020-04-01,salvador,BA,2927408.0
2020-04-01,santarém,PA,1506807.0
2020-04-01,santo antônio do içá,AM,1303700.0
2020-04-01,são luís,MA,2111300.0
2020-04-01,tucuruí,PA,1508100.0
2020-04-02,abaetetuba,PA,1500107.0
2020-04-02,angra dos reis,RJ,3300100.0
2020-04-02,anori,AM,1300102.0
2020-04-02,barcarena,PA,1501303.0
2020-04-02,belém,PA,1501402.0
2020-04-02,careiro da várzea,AM,1301159.0
2020-04-02,imperatriz,MA,2105302.0
2020-04-02,itacoatiara,AM,1301902.0
2020-04-02,itaituba,PA,1503606.0
2020-04-02,laguna,SC,4209409.0
2020-04-02,macapá,AP,1600303.0
2020-04-02,manacapuru,AM,1302504.0
2020-04-02,manaus,AM,1302603.0
2020-04-02,mangaratiba,RJ,3302601.0
2020-04-02,marabá,PA,1504208.0
2020-04-02,novo airão,AM,1303205.0
2020-04-02,paranaguá,PR,4118204.0
2020-04-02,parintins,AM,1303403.0
2020-04-02,porto real do colégio,AL,2707503.0
2020-04-02,porto velho,RO,1100205.0
2020-04-02,propriá,SE,2805703.0
2020-04-02,rio grande,RS,4315602.0
2020-04-02,salvador,BA,2927408.0
2020-04-02,santarém,PA,1506807.0
2020-04-02,santo antônio do içá,AM,1303700.0
2020-04-02,são luís,MA,2111300.0
2020-04-02,tonantins,AM,1304237.0
2020-04-02,tucuruí,PA,1508100.0
2020-04-03,abaetetuba,PA,1500107.0
2020-04-03,altamira,PA,1500602.0
2020-04-03,angra dos reis,RJ,3300100.0
2020-04-03,anori,AM,1300102.0
2020-04-03,barcarena,PA,1501303.0
2020-04-03,belém,PA,1501402.0
2020-04-03,careiro da várzea,AM,1301159.0
2020-04-03,imperatriz,MA,2105302.0
2020-04-03,itacoatiara,AM,1301902.0
2020-04-03,itaituba,PA,1503606.0
2020-04-03,laguna,SC,4209409.0
2020-04-03,macapá,AP,1600303.0
2020-04-03,manacapuru,AM,1302504.0
2020-04-03,manaus,AM,1302603.0
2020-04-03,mangaratiba,RJ,3302601.0
2020-04-03,marabá,PA,1504208.0
2020-04-03,novo airão,AM,1303205.0
2020-04-03,oeiras do pará,PA,1505205.0
2020-04-03,paranaguá,PR,4118204.0
2020-04-03,parintins,AM,1303403.0
2020-04-03,porto real do colégio,AL,2707503.0
2020-04-03,porto velho,RO,1100205.0
2020-04-03,propriá,SE,2805703.0
2020-04-03,rio grande,RS,4315602.0
2020-04-03,salvador,BA,2927408.0
2020-04-03,santarém,PA,1506807.0
2020-04-03,santo antônio do içá,AM,1303700.0
2020-04-03,são josé de ribamar,MA,2111201.0
2020-04-03,são luís,MA,2111300.0
2020-04-03,tonantins,AM,1304237.0
2020-04-03,tucuruí,PA,1508100.0
2020-04-04,abaetetuba,PA,1500107.0
2020-04-04,altamira,PA,1500602.0
2020-04-04,angra dos reis,RJ,3300100.0
2020-04-04,anori,AM,1300102.0
2020-04-04,barcarena,PA,1501303.0
2020-04-04,belém,PA,1501402.0
2020-04-04,careiro da várzea,AM,1301159.0
2020-04-04,imperatriz,MA,2105302.0
2020-04-04,itacoatiara,AM,1301902.0
2020-04-04,itaituba,PA,1503606.0
2020-04-04,itapiranga,SC,4208401.0
2020-04-04,laguna,SC,4209409.0
2020-04-04,macapá,AP,1600303.0
2020-04-04,manacapuru,AM,1302504.0
2020-04-04,manaus,AM,1302603.0
2020-04-04,mangaratiba,RJ,3302601.0
2020-04-04,marabá,PA,1504208.0
2020-04-04,novo airão,AM,1303205.0
2020-04-04,oeiras do pará,PA,1505205.0
2020-04-04,paranaguá,PR,4118204.0
2020-04-04,parintins,AM,1303403.0
2020-04-04,porto real do colégio,AL,2707503.0
2020-04-04,porto velho,RO,1100205.0
2020-04-04,propriá,SE,2805703.0
2020-04-04,rio grande,RS,4315602.0
2020-04-04,salvador,BA,2927408.0
2020-04-04,santarém,PA,1506807.0
2020-04-04,santo antônio do içá,AM,1303700.0
2020-04-04,são josé de ribamar,MA,2111201.0
2020-04-04,são luís,MA,2111300.0
2020-04-04,tonantins,AM,1304237.0
2020-04-04,tucuruí,PA,1508100.0
2020-04-05,abaetetuba,PA,1500107.0
2020-04-05,altamira,PA,1500602.0
2020-04-05,angra dos reis,RJ,3300100.0
2020-04-05,anori,AM,1300102.0
2020-04-05,areia branca,RN,2401107.0
2020-04-05,barcarena,PA,1501303.0
2020-04-05,belém,PA,1501402.0
2020-04-05,careiro da várzea,AM,1301159.0
2020-04-05,imperatriz,MA,2105302.0
2020-04-05,iranduba,AM,1301852.0
2020-04-05,itacoatiara,AM,1301902.0
2020-04-05,itaituba,PA,1503606.0
2020-04-05,itapiranga,SC,4208401.0
2020-04-05,laguna,SC,4209409.0
2020-04-05,macapá,AP,1600303.0
2020-04-05,manacapuru,AM,1302504.0
2020-04-05,manaus,AM,1302603.0
2020-04-05,mangaratiba,RJ,3302601.0
2020-04-05,marabá,PA,1504208.0
2020-04-05,novo airão,AM,1303205.0
2020-04-05,oeiras do pará,PA,1505205.0
2020-04-05,paranaguá,PR,4118204.0
2020-04-05,parintins,AM,1303403.0
2020-04-05,porto real do colégio,AL,2707503.0
2020-04-05,porto velho,RO,1100205.0
2020-04-05,propriá,SE,2805703.0
2020-04-05,rio grande,RS,4315602.0
2020-04-05,salvador,BA,2927408.0
2020-04-05,santana,AP,1600600.0
2020-04-05,santarém,PA,1506807.0
2020-04-05,santo antônio do içá,AM,1303700.0
2020-04-05,são josé de ribamar,MA,2111201.0
2020-04-05,são luís,MA,2111300.0
2020-04-05,tonantins,AM,1304237.0
2020-04-05,tucuruí,PA,1508100.0
2020-04-06,abaetetuba,PA,1500107.0
2020-04-06,altamira,PA,1500602.0
2020-04-06,angra dos reis,RJ,3300100.0
2020-04-06,anori,AM,1300102.0
2020-04-06,areia branca,RN,2401107.0
2020-04-06,barcarena,PA,1501303.0
2020-04-06,belém,PA,1501402.0
2020-04-06,cametá,PA,1502103.0
2020-04-06,careiro da várzea,AM,1301159.0
2020-04-06,imperatriz,MA,2105302.0
2020-04-06,iranduba,AM,1301852.0
2020-04-06,itacoatiara,AM,1301902.0
2020-04-06,itaituba,PA,1503606.0
2020-04-06,itapiranga,SC,4208401.0
2020-04-06,jutaí,AM,1302306.0
2020-04-06,laguna,SC,4209409.0
2020-04-06,macapá,AP,1600303.0
2020-04-06,manacapuru,AM,1302504.0
2020-04-06,manaus,AM,1302603.0
2020-04-06,mangaratiba,RJ,3302601.0
2020-04-06,marabá,PA,1504208.0
2020-04-06,novo airão,AM,1303205.0
2020-04-06,oeiras do pará,PA,1505205.0
2020-04-06,paranaguá,PR,4118204.0
2020-04-06,parintins,AM,1303403.0
2020-04-06,porto real do colégio,AL,2707503.0
2020-04-06,porto velho,RO,1100205.0
2020-04-06,propriá,SE,2805703.0
2020-04-06,rio grande,RS,4315602.0
2020-04-06,salvador,BA,2927408.0
2020-04-06,santana,AP,1600600.0
2020-04-06,santarém,PA,1506807.0
2020-04-06,santo antônio do içá,AM,1303700.0
2020-04-06,são gabriel da cachoeira,AM,1303809.0
2020-04-06,são josé de ribamar,MA,2111201.0
2020-04-06,são luís,MA,2111300.0
2020-04-06,tonantins,AM,1304237.0
2020-04-06,tucuruí,PA,1508100.0
2020-04-07,abaetetuba,PA,1500107.0
2020-04-07,altamira,PA,1500602.0
2020-04-07,angra dos reis,RJ,3300100.0
2020-04-07,anori,AM,1300102.0
2020-04-07,areia branca,RN,2401107.0
2020-04-07,barcarena,PA,1501303.0
2020-04-07,belém,PA,1501402.0
2020-04-07,cametá,PA,1502103.0
2020-04-07,careiro da várzea,AM,1301159.0
2020-04-07,imperatriz,MA,2105302.0
2020-04-07,iranduba,AM,1301852.0
2020-04-07,itacoatiara,AM,1301902.0
2020-04-07,itaituba,PA,1503606.0
2020-04-07,itapiranga,SC,4208401.0
2020-04-07,jutaí,AM,1302306.0
2020-04-07,laguna,SC,4209409.0
2020-04-07,macapá,AP,1600303.0
2020-04-07,manacapuru,AM,1302504.0
2020-04-07,manaus,AM,1302603.0
2020-04-07,mangaratiba,RJ,3302601.0
2020-04-07,marabá,PA,1504208.0
2020-04-07,novo airão,AM,1303205.0
2020-04-07,oeiras do pará,PA,1505205.0
2020-04-07,paranaguá,PR,4118204.0
2020-04-07,parintins,AM,1303403.0
2020-04-07,porto real do colégio,AL,2707503.0
2020-04-07,porto velho,RO,1100205.0
2020-04-07,propriá,SE,2805703.0
2020-04-07,rio grande,RS,4315602.0
2020-04-07,salvador,BA,2927408.0
2020-04-07,santana,AP,1600600.0
2020-04-07,santarém,PA,1506807.0
2020-04-07,santo antônio do içá,AM,1303700.0
2020-04-07,são gabriel da cachoeira,AM,1303809.0
2020-04-07,são josé de ribamar,MA,2111201.0
2020-04-07,são luís,MA,2111300.0
2020-04-07,são paulo de olivença,AM,1303908.0
2020-04-07,tonantins,AM,1304237.0
2020-04-07,tucuruí,PA,1508100.0
2020-04-08,abaetetuba,PA,1500107.0
2020-04-08,altamira,PA,1500602.0
2020-04-08,angra dos reis,RJ,3300100.0
2020-04-08,anori,AM,1300102.0
