Datas,Cidades,Estados,Geocode,UTP
2020-02-25,são paulo,SP,3550308.0,316.0
2020-02-26,são paulo,SP,3550308.0,316.0
2020-02-27,são paulo,SP,3550308.0,316.0
2020-02-28,são paulo,SP,3550308.0,316.0
2020-02-29,são paulo,SP,3550308.0,316.0
2020-03-01,são paulo,SP,3550308.0,316.0
2020-03-02,são paulo,SP,3550308.0,316.0
2020-03-03,são paulo,SP,3550308.0,316.0
2020-03-04,são paulo,SP,3550308.0,316.0
2020-03-05,são paulo,SP,3550308.0,316.0
2020-03-06,feira de santana,BA,2910800.0,107.0
2020-03-06,rio de janeiro,RJ,3304557.0,284.0
2020-03-06,são paulo,SP,3550308.0,316.0
2020-03-07,brasília,DF,5300108.0,53.0
2020-03-07,feira de santana,BA,2910800.0,107.0
2020-03-07,rio de janeiro,RJ,3304557.0,284.0
2020-03-07,são paulo,SP,3550308.0,316.0
2020-03-08,brasília,DF,5300108.0,53.0
2020-03-08,feira de santana,BA,2910800.0,107.0
2020-03-08,maceió,AL,2704302.0,203.0
2020-03-08,rio de janeiro,RJ,3304557.0,284.0
2020-03-08,são paulo,SP,3550308.0,316.0
2020-03-09,brasília,DF,5300108.0,53.0
2020-03-09,feira de santana,BA,2910800.0,107.0
2020-03-09,maceió,AL,2704302.0,203.0
2020-03-09,rio de janeiro,RJ,3304557.0,284.0
2020-03-09,são paulo,SP,3550308.0,316.0
2020-03-10,brasília,DF,5300108.0,53.0
2020-03-10,feira de santana,BA,2910800.0,107.0
2020-03-10,maceió,AL,2704302.0,203.0
2020-03-10,rio de janeiro,RJ,3304557.0,284.0
2020-03-10,são paulo,SP,3550308.0,316.0
2020-03-11,brasília,DF,5300108.0,53.0
2020-03-11,feira de santana,BA,2910800.0,107.0
2020-03-11,maceió,AL,2704302.0,203.0
2020-03-11,porto alegre,RS,4314902.0,267.0
2020-03-11,rio de janeiro,RJ,3304557.0,284.0
2020-03-11,são paulo,SP,3550308.0,316.0
2020-03-12,brasília,DF,5300108.0,53.0
2020-03-12,caxias do sul,RS,4305108.0,84.0
2020-03-12,curitiba,PR,4106902.0,100.0
2020-03-12,feira de santana,BA,2910800.0,107.0
2020-03-12,florianópolis,SC,4205407.0,110.0
2020-03-12,goiânia,GO,5208707.0,117.0
2020-03-12,maceió,AL,2704302.0,203.0
2020-03-12,natal,RN,2408102.0,222.0
2020-03-12,porto alegre,RS,4314902.0,267.0
2020-03-12,recife,PE,2611606.0,278.0
2020-03-12,rio verde,GO,5218805.0,287.0
2020-03-12,rio de janeiro,RJ,3304557.0,284.0
2020-03-12,são paulo,SP,3550308.0,316.0
2020-03-13,brasília,DF,5300108.0,53.0
2020-03-13,caxias do sul,RS,4305108.0,84.0
2020-03-13,curitiba,PR,4106902.0,100.0
2020-03-13,feira de santana,BA,2910800.0,107.0
2020-03-13,florianópolis,SC,4205407.0,110.0
2020-03-13,goiânia,GO,5208707.0,117.0
2020-03-13,joinville,SC,4209102.0,186.0
2020-03-13,maceió,AL,2704302.0,203.0
2020-03-13,manaus,AM,1302603.0,206.0
2020-03-13,natal,RN,2408102.0,222.0
2020-03-13,porto alegre,RS,4314902.0,267.0
2020-03-13,recife,PE,2611606.0,278.0
2020-03-13,rio verde,GO,5218805.0,287.0
2020-03-13,rio de janeiro,RJ,3304557.0,284.0
2020-03-13,salvador,BA,2927408.0,291.0
2020-03-13,são paulo,SP,3550308.0,316.0
2020-03-14,aracaju,SE,2800308.0,19.0
2020-03-14,brasília,DF,5300108.0,53.0
2020-03-14,caxias do sul,RS,4305108.0,84.0
2020-03-14,curitiba,PR,4106902.0,100.0
2020-03-14,feira de santana,BA,2910800.0,107.0
2020-03-14,florianópolis,SC,4205407.0,110.0
2020-03-14,goiânia,GO,5208707.0,117.0
2020-03-14,joinville,SC,4209102.0,186.0
2020-03-14,juiz de fora,MG,3136702.0,189.0
2020-03-14,maceió,AL,2704302.0,203.0
2020-03-14,manaus,AM,1302603.0,206.0
2020-03-14,natal,RN,2408102.0,222.0
2020-03-14,porto alegre,RS,4314902.0,267.0
2020-03-14,recife,PE,2611606.0,278.0
2020-03-14,rio verde,GO,5218805.0,287.0
2020-03-14,rio de janeiro,RJ,3304557.0,284.0
2020-03-14,salvador,BA,2927408.0,291.0
2020-03-14,são paulo,SP,3550308.0,316.0
2020-03-15,aracaju,SE,2800308.0,19.0
2020-03-15,brasília,DF,5300108.0,53.0
2020-03-15,caxias do sul,RS,4305108.0,84.0
2020-03-15,curitiba,PR,4106902.0,100.0
2020-03-15,feira de santana,BA,2910800.0,107.0
2020-03-15,florianópolis,SC,4205407.0,110.0
2020-03-15,goiânia,GO,5208707.0,117.0
2020-03-15,joinville,SC,4209102.0,186.0
2020-03-15,juiz de fora,MG,3136702.0,189.0
2020-03-15,maceió,AL,2704302.0,203.0
2020-03-15,manaus,AM,1302603.0,206.0
2020-03-15,natal,RN,2408102.0,222.0
2020-03-15,porto alegre,RS,4314902.0,267.0
2020-03-15,recife,PE,2611606.0,278.0
2020-03-15,rio verde,GO,5218805.0,287.0
2020-03-15,rio de janeiro,RJ,3304557.0,284.0
2020-03-15,salvador,BA,2927408.0,291.0
2020-03-15,são paulo,SP,3550308.0,316.0
2020-03-16,aracaju,SE,2800308.0,19.0
2020-03-16,belo horizonte,MG,3106200.0,42.0
2020-03-16,brasília,DF,5300108.0,53.0
2020-03-16,caxias do sul,RS,4305108.0,84.0
2020-03-16,curitiba,PR,4106902.0,100.0
2020-03-16,feira de santana,BA,2910800.0,107.0
2020-03-16,florianópolis,SC,4205407.0,110.0
2020-03-16,fortaleza,CE,2304400.0,111.0
2020-03-16,goiânia,GO,5208707.0,117.0
2020-03-16,joinville,SC,4209102.0,186.0
2020-03-16,juiz de fora,MG,3136702.0,189.0
2020-03-16,maceió,AL,2704302.0,203.0
2020-03-16,manaus,AM,1302603.0,206.0
2020-03-16,natal,RN,2408102.0,222.0
2020-03-16,porto alegre,RS,4314902.0,267.0
2020-03-16,porto seguro,BA,2925303.0,268.0
2020-03-16,recife,PE,2611606.0,278.0
2020-03-16,rio verde,GO,5218805.0,287.0
2020-03-16,rio de janeiro,RJ,3304557.0,284.0
2020-03-16,salvador,BA,2927408.0,291.0
2020-03-16,são paulo,SP,3550308.0,316.0
2020-03-17,aracaju,SE,2800308.0,19.0
2020-03-17,belo horizonte,MG,3106200.0,42.0
2020-03-17,brasília,DF,5300108.0,53.0
2020-03-17,caxias do sul,RS,4305108.0,84.0
2020-03-17,curitiba,PR,4106902.0,100.0
2020-03-17,feira de santana,BA,2910800.0,107.0
2020-03-17,florianópolis,SC,4205407.0,110.0
2020-03-17,fortaleza,CE,2304400.0,111.0
2020-03-17,goiânia,GO,5208707.0,117.0
2020-03-17,joinville,SC,4209102.0,186.0
2020-03-17,juiz de fora,MG,3136702.0,189.0
2020-03-17,londrina,PR,4113700.0,199.0
2020-03-17,maceió,AL,2704302.0,203.0
2020-03-17,manaus,AM,1302603.0,206.0
2020-03-17,natal,RN,2408102.0,222.0
2020-03-17,porto alegre,RS,4314902.0,267.0
2020-03-17,porto seguro,BA,2925303.0,268.0
2020-03-17,recife,PE,2611606.0,278.0
2020-03-17,rio branco,AC,1200401.0,282.0
2020-03-17,rio verde,GO,5218805.0,287.0
2020-03-17,rio de janeiro,RJ,3304557.0,284.0
2020-03-17,salvador,BA,2927408.0,291.0
2020-03-17,são paulo,SP,3550308.0,316.0
2020-03-17,uberlândia,MG,3170206.0,352.0
2020-03-18,aracaju,SE,2800308.0,19.0
2020-03-18,belo horizonte,MG,3106200.0,42.0
2020-03-18,belém,PA,1501402.0,41.0
2020-03-18,brasília,DF,5300108.0,53.0
2020-03-18,caxias do sul,RS,4305108.0,84.0
2020-03-18,curitiba,PR,4106902.0,100.0
2020-03-18,feira de santana,BA,2910800.0,107.0
2020-03-18,florianópolis,SC,4205407.0,110.0
2020-03-18,fortaleza,CE,2304400.0,111.0
2020-03-18,foz do iguaçu,PR,4108304.0,140.0
2020-03-18,goiânia,GO,5208707.0,117.0
2020-03-18,joinville,SC,4209102.0,186.0
2020-03-18,joão pessoa,PB,2507507.0,185.0
2020-03-18,juiz de fora,MG,3136702.0,189.0
2020-03-18,londrina,PR,4113700.0,199.0
2020-03-18,maceió,AL,2704302.0,203.0
2020-03-18,manaus,AM,1302603.0,206.0
2020-03-18,maringá,PR,4115200.0,211.0
2020-03-18,natal,RN,2408102.0,222.0
2020-03-18,palmas,TO,1721000.0,231.0
2020-03-18,porto alegre,RS,4314902.0,267.0
2020-03-18,porto seguro,BA,2925303.0,268.0
2020-03-18,recife,PE,2611606.0,278.0
2020-03-18,rio branco,AC,1200401.0,282.0
2020-03-18,rio verde,GO,5218805.0,287.0
2020-03-18,rio de janeiro,RJ,3304557.0,284.0
2020-03-18,salvador,BA,2927408.0,291.0
2020-03-18,são josé do rio preto,SP,3549805.0,311.0
2020-03-18,são josé dos campos,SP,3549904.0,312.0
2020-03-18,são paulo,SP,3550308.0,316.0
2020-03-18,uberlândia,MG,3170206.0,352.0
2020-03-19,aracaju,SE,2800308.0,19.0
2020-03-19,belo horizonte,MG,3106200.0,42.0
2020-03-19,belém,PA,1501402.0,41.0
2020-03-19,brasília,DF,5300108.0,53.0
2020-03-19,caxias do sul,RS,4305108.0,84.0
2020-03-19,curitiba,PR,4106902.0,100.0
2020-03-19,feira de santana,BA,2910800.0,107.0
2020-03-19,florianópolis,SC,4205407.0,110.0
2020-03-19,fortaleza,CE,2304400.0,111.0
2020-03-19,foz do iguaçu,PR,4108304.0,140.0
2020-03-19,goiânia,GO,5208707.0,117.0
2020-03-19,joinville,SC,4209102.0,186.0
2020-03-19,joão pessoa,PB,2507507.0,185.0
2020-03-19,juiz de fora,MG,3136702.0,189.0
2020-03-19,londrina,PR,4113700.0,199.0
2020-03-19,maceió,AL,2704302.0,203.0
2020-03-19,manaus,AM,1302603.0,206.0
2020-03-19,maringá,PR,4115200.0,211.0
2020-03-19,natal,RN,2408102.0,222.0
2020-03-19,palmas,TO,1721000.0,231.0
2020-03-19,porto alegre,RS,4314902.0,267.0
2020-03-19,porto seguro,BA,2925303.0,268.0
2020-03-19,recife,PE,2611606.0,278.0
2020-03-19,rio branco,AC,1200401.0,282.0
2020-03-19,rio verde,GO,5218805.0,287.0
2020-03-19,rio de janeiro,RJ,3304557.0,284.0
2020-03-19,salvador,BA,2927408.0,291.0
2020-03-19,são josé do rio preto,SP,3549805.0,311.0
2020-03-19,são josé dos campos,SP,3549904.0,312.0
2020-03-19,são paulo,SP,3550308.0,316.0
2020-03-19,teresina,PI,2211001.0,336.0
2020-03-19,uberlândia,MG,3170206.0,352.0
2020-03-20,aracaju,SE,2800308.0,19.0
2020-03-20,belo horizonte,MG,3106200.0,42.0
2020-03-20,belém,PA,1501402.0,41.0
2020-03-20,brasília,DF,5300108.0,53.0
2020-03-20,caxias do sul,RS,4305108.0,84.0
2020-03-20,chapecó,SC,4204202.0,88.0
2020-03-20,cuiabá,MT,5103403.0,98.0
2020-03-20,curitiba,PR,4106902.0,100.0
2020-03-20,feira de santana,BA,2910800.0,107.0
2020-03-20,florianópolis,SC,4205407.0,110.0
2020-03-20,fortaleza,CE,2304400.0,111.0
2020-03-20,foz do iguaçu,PR,4108304.0,140.0
2020-03-20,goiânia,GO,5208707.0,117.0
2020-03-20,ji-paraná,RO,1100122.0,182.0
2020-03-20,joinville,SC,4209102.0,186.0
2020-03-20,joão pessoa,PB,2507507.0,185.0
2020-03-20,juazeiro do norte,CE,2307304.0,187.0
2020-03-20,juiz de fora,MG,3136702.0,189.0
2020-03-20,londrina,PR,4113700.0,199.0
2020-03-20,macapá,AP,1600303.0,202.0
2020-03-20,maceió,AL,2704302.0,203.0
2020-03-20,manaus,AM,1302603.0,206.0
2020-03-20,maringá,PR,4115200.0,211.0
2020-03-20,natal,RN,2408102.0,222.0
2020-03-20,palmas,TO,1721000.0,231.0
2020-03-20,porto alegre,RS,4314902.0,267.0
2020-03-20,porto seguro,BA,2925303.0,268.0
2020-03-20,recife,PE,2611606.0,278.0
2020-03-20,rio branco,AC,1200401.0,282.0
2020-03-20,rio verde,GO,5218805.0,287.0
2020-03-20,rio de janeiro,RJ,3304557.0,284.0
2020-03-20,salvador,BA,2927408.0,291.0
2020-03-20,são josé do rio preto,SP,3549805.0,311.0
2020-03-20,são josé dos campos,SP,3549904.0,312.0
2020-03-20,são luís,MA,2111300.0,314.0
2020-03-20,são paulo,SP,3550308.0,316.0
2020-03-20,teresina,PI,2211001.0,336.0
2020-03-20,uberaba,MG,3170107.0,351.0
2020-03-20,uberlândia,MG,3170206.0,352.0
2020-03-21,aracaju,SE,2800308.0,19.0
2020-03-21,belo horizonte,MG,3106200.0,42.0
2020-03-21,belém,PA,1501402.0,41.0
2020-03-21,boa vista,RR,1400100.0,47.0
2020-03-21,brasília,DF,5300108.0,53.0
2020-03-21,caxias do sul,RS,4305108.0,84.0
2020-03-21,chapecó,SC,4204202.0,88.0
2020-03-21,cuiabá,MT,5103403.0,98.0
2020-03-21,curitiba,PR,4106902.0,100.0
2020-03-21,feira de santana,BA,2910800.0,107.0
2020-03-21,florianópolis,SC,4205407.0,110.0
2020-03-21,fortaleza,CE,2304400.0,111.0
2020-03-21,foz do iguaçu,PR,4108304.0,140.0
2020-03-21,goiânia,GO,5208707.0,117.0
2020-03-21,itajaí,SC,4208203.0,160.0
2020-03-21,jaguaruna,SC,4208807.0,551.0
2020-03-21,ji-paraná,RO,1100122.0,182.0
2020-03-21,joinville,SC,4209102.0,186.0
2020-03-21,joão pessoa,PB,2507507.0,185.0
2020-03-21,juazeiro do norte,CE,2307304.0,187.0
2020-03-21,juiz de fora,MG,3136702.0,189.0
2020-03-21,londrina,PR,4113700.0,199.0
2020-03-21,macapá,AP,1600303.0,202.0
2020-03-21,maceió,AL,2704302.0,203.0
2020-03-21,manaus,AM,1302603.0,206.0
2020-03-21,maringá,PR,4115200.0,211.0
2020-03-21,mossoró,RN,2408003.0,220.0
2020-03-21,natal,RN,2408102.0,222.0
2020-03-21,palmas,TO,1721000.0,231.0
2020-03-21,ponta grossa,PR,4119905.0,264.0
2020-03-21,porto alegre,RS,4314902.0,267.0
2020-03-21,porto seguro,BA,2925303.0,268.0
2020-03-21,porto velho,RO,1100205.0,269.0
2020-03-21,recife,PE,2611606.0,278.0
2020-03-21,rio branco,AC,1200401.0,282.0
2020-03-21,rio verde,GO,5218805.0,287.0
2020-03-21,rio de janeiro,RJ,3304557.0,284.0
2020-03-21,salvador,BA,2927408.0,291.0
2020-03-21,são josé do rio preto,SP,3549805.0,311.0
2020-03-21,são josé dos campos,SP,3549904.0,312.0
2020-03-21,são luís,MA,2111300.0,314.0
2020-03-21,são paulo,SP,3550308.0,316.0
2020-03-21,teresina,PI,2211001.0,336.0
2020-03-21,uberaba,MG,3170107.0,351.0
2020-03-21,uberlândia,MG,3170206.0,352.0
2020-03-22,aracaju,SE,2800308.0,19.0
2020-03-22,barreiras,BA,2903201.0,38.0
2020-03-22,belo horizonte,MG,3106200.0,42.0
2020-03-22,belém,PA,1501402.0,41.0
2020-03-22,boa vista,RR,1400100.0,47.0
2020-03-22,brasília,DF,5300108.0,53.0
2020-03-22,caxias do sul,RS,4305108.0,84.0
2020-03-22,chapecó,SC,4204202.0,88.0
2020-03-22,cuiabá,MT,5103403.0,98.0
2020-03-22,curitiba,PR,4106902.0,100.0
2020-03-22,feira de santana,BA,2910800.0,107.0
2020-03-22,florianópolis,SC,4205407.0,110.0
2020-03-22,fortaleza,CE,2304400.0,111.0
2020-03-22,foz do iguaçu,PR,4108304.0,140.0
2020-03-22,goiânia,GO,5208707.0,117.0
2020-03-22,itajaí,SC,4208203.0,160.0
2020-03-22,jaguaruna,SC,4208807.0,551.0
2020-03-22,ji-paraná,RO,1100122.0,182.0
2020-03-22,joinville,SC,4209102.0,186.0
2020-03-22,joão pessoa,PB,2507507.0,185.0
2020-03-22,juazeiro do norte,CE,2307304.0,187.0
2020-03-22,juiz de fora,MG,3136702.0,189.0
2020-03-22,lages,SC,4209300.0,191.0
2020-03-22,londrina,PR,4113700.0,199.0
2020-03-22,macapá,AP,1600303.0,202.0
2020-03-22,maceió,AL,2704302.0,203.0
2020-03-22,manaus,AM,1302603.0,206.0
2020-03-22,maringá,PR,4115200.0,211.0
2020-03-22,mossoró,RN,2408003.0,220.0
2020-03-22,natal,RN,2408102.0,222.0
2020-03-22,palmas,TO,1721000.0,231.0
2020-03-22,parintins,AM,1303403.0,238.0
2020-03-22,ponta grossa,PR,4119905.0,264.0
2020-03-22,porto alegre,RS,4314902.0,267.0
2020-03-22,porto seguro,BA,2925303.0,268.0
2020-03-22,porto velho,RO,1100205.0,269.0
2020-03-22,recife,PE,2611606.0,278.0
2020-03-22,rio branco,AC,1200401.0,282.0
2020-03-22,rio verde,GO,5218805.0,287.0
2020-03-22,rio de janeiro,RJ,3304557.0,284.0
2020-03-22,salvador,BA,2927408.0,291.0
2020-03-22,são josé do rio preto,SP,3549805.0,311.0
2020-03-22,são josé dos campos,SP,3549904.0,312.0
2020-03-22,são luís,MA,2111300.0,314.0
2020-03-22,são paulo,SP,3550308.0,316.0
2020-03-22,teresina,PI,2211001.0,336.0
2020-03-22,uberaba,MG,3170107.0,351.0
2020-03-22,uberlândia,MG,3170206.0,352.0
2020-03-23,aracaju,SE,2800308.0,19.0
2020-03-23,barreiras,BA,2903201.0,38.0
2020-03-23,belo horizonte,MG,3106200.0,42.0
2020-03-23,belém,PA,1501402.0,41.0
2020-03-23,boa vista,RR,1400100.0,47.0
2020-03-23,brasília,DF,5300108.0,53.0
2020-03-23,caxias do sul,RS,4305108.0,84.0
2020-03-23,chapecó,SC,4204202.0,88.0
2020-03-23,cuiabá,MT,5103403.0,98.0
2020-03-23,curitiba,PR,4106902.0,100.0
2020-03-23,feira de santana,BA,2910800.0,107.0
2020-03-23,florianópolis,SC,4205407.0,110.0
2020-03-23,fortaleza,CE,2304400.0,111.0
2020-03-23,foz do iguaçu,PR,4108304.0,140.0
2020-03-23,goiânia,GO,5208707.0,117.0
2020-03-23,itajaí,SC,4208203.0,160.0
2020-03-23,jaguaruna,SC,4208807.0,551.0
2020-03-23,ji-paraná,RO,1100122.0,182.0
2020-03-23,joinville,SC,4209102.0,186.0
2020-03-23,joão pessoa,PB,2507507.0,185.0
2020-03-23,juazeiro do norte,CE,2307304.0,187.0
2020-03-23,juiz de fora,MG,3136702.0,189.0
2020-03-23,lages,SC,4209300.0,191.0
2020-03-23,londrina,PR,4113700.0,199.0
2020-03-23,macapá,AP,1600303.0,202.0
2020-03-23,maceió,AL,2704302.0,203.0
2020-03-23,manaus,AM,1302603.0,206.0
2020-03-23,marabá,PA,1504208.0,208.0
2020-03-23,maringá,PR,4115200.0,211.0
2020-03-23,mossoró,RN,2408003.0,220.0
2020-03-23,natal,RN,2408102.0,222.0
2020-03-23,palmas,TO,1721000.0,231.0
2020-03-23,parintins,AM,1303403.0,238.0
2020-03-23,petrolina,PE,2611101.0,253.0
2020-03-23,ponta grossa,PR,4119905.0,264.0
2020-03-23,porto alegre,RS,4314902.0,267.0
2020-03-23,porto seguro,BA,2925303.0,268.0
2020-03-23,porto velho,RO,1100205.0,269.0
2020-03-23,recife,PE,2611606.0,278.0
2020-03-23,rio branco,AC,1200401.0,282.0
2020-03-23,rio verde,GO,5218805.0,287.0
2020-03-23,rio de janeiro,RJ,3304557.0,284.0
2020-03-23,salvador,BA,2927408.0,291.0
2020-03-23,serra,ES,3205002.0,363.0
2020-03-23,são josé do rio preto,SP,3549805.0,311.0
2020-03-23,são josé dos campos,SP,3549904.0,312.0
2020-03-23,são luís,MA,2111300.0,314.0
2020-03-23,são paulo,SP,3550308.0,316.0
2020-03-23,teresina,PI,2211001.0,336.0
2020-03-23,uberaba,MG,3170107.0,351.0
2020-03-23,uberlândia,MG,3170206.0,352.0
2020-03-24,aracaju,SE,2800308.0,19.0
2020-03-24,barreiras,BA,2903201.0,38.0
2020-03-24,belo horizonte,MG,3106200.0,42.0
2020-03-24,belém,PA,1501402.0,41.0
2020-03-24,boa vista,RR,1400100.0,47.0
2020-03-24,brasília,DF,5300108.0,53.0
2020-03-24,caxias do sul,RS,4305108.0,84.0
2020-03-24,chapecó,SC,4204202.0,88.0
2020-03-24,cuiabá,MT,5103403.0,98.0
2020-03-24,curitiba,PR,4106902.0,100.0
2020-03-24,feira de santana,BA,2910800.0,107.0
2020-03-24,florianópolis,SC,4205407.0,110.0
2020-03-24,fortaleza,CE,2304400.0,111.0
2020-03-24,foz do iguaçu,PR,4108304.0,140.0
2020-03-24,goiânia,GO,5208707.0,117.0
2020-03-24,itajaí,SC,4208203.0,160.0
2020-03-24,jaguaruna,SC,4208807.0,551.0
2020-03-24,ji-paraná,RO,1100122.0,182.0
2020-03-24,joinville,SC,4209102.0,186.0
2020-03-24,joão pessoa,PB,2507507.0,185.0
2020-03-24,juazeiro do norte,CE,2307304.0,187.0
2020-03-24,juiz de fora,MG,3136702.0,189.0
2020-03-24,lages,SC,4209300.0,191.0
2020-03-24,londrina,PR,4113700.0,199.0
2020-03-24,macapá,AP,1600303.0,202.0
2020-03-24,maceió,AL,2704302.0,203.0
2020-03-24,manaus,AM,1302603.0,206.0
2020-03-24,marabá,PA,1504208.0,208.0
2020-03-24,maringá,PR,4115200.0,211.0
2020-03-24,mossoró,RN,2408003.0,220.0
2020-03-24,natal,RN,2408102.0,222.0
2020-03-24,palmas,TO,1721000.0,231.0
2020-03-24,parintins,AM,1303403.0,238.0
2020-03-24,petrolina,PE,2611101.0,253.0
2020-03-24,ponta grossa,PR,4119905.0,264.0
2020-03-24,porto alegre,RS,4314902.0,267.0
2020-03-24,porto seguro,BA,2925303.0,268.0
2020-03-24,porto velho,RO,1100205.0,269.0
2020-03-24,recife,PE,2611606.0,278.0
2020-03-24,rio branco,AC,1200401.0,282.0
2020-03-24,rio verde,GO,5218805.0,287.0
2020-03-24,rio de janeiro,RJ,3304557.0,284.0
2020-03-24,salvador,BA,2927408.0,291.0
2020-03-24,serra,ES,3205002.0,363.0
2020-03-24,são josé do rio preto,SP,3549805.0,311.0
2020-03-24,são josé dos campos,SP,3549904.0,312.0
2020-03-24,são luís,MA,2111300.0,314.0
2020-03-24,são paulo,SP,3550308.0,316.0
2020-03-24,teixeira de freitas,BA,2931350.0,334.0
2020-03-24,teresina,PI,2211001.0,336.0
2020-03-24,uberaba,MG,3170107.0,351.0
2020-03-24,uberlândia,MG,3170206.0,352.0
2020-03-25,aracaju,SE,2800308.0,19.0
2020-03-25,barreiras,BA,2903201.0,38.0
2020-03-25,belo horizonte,MG,3106200.0,42.0
2020-03-25,belém,PA,1501402.0,41.0
2020-03-25,boa vista,RR,1400100.0,47.0
2020-03-25,brasília,DF,5300108.0,53.0
2020-03-25,caxias do sul,RS,4305108.0,84.0
2020-03-25,chapecó,SC,4204202.0,88.0
2020-03-25,cuiabá,MT,5103403.0,98.0
2020-03-25,curitiba,PR,4106902.0,100.0
2020-03-25,feira de santana,BA,2910800.0,107.0
2020-03-25,florianópolis,SC,4205407.0,110.0
2020-03-25,fortaleza,CE,2304400.0,111.0
2020-03-25,foz do iguaçu,PR,4108304.0,140.0
2020-03-25,goiânia,GO,5208707.0,117.0
2020-03-25,ilhéus,BA,2913606.0,126.0
2020-03-25,itajaí,SC,4208203.0,160.0
2020-03-25,jaguaruna,SC,4208807.0,551.0
2020-03-25,ji-paraná,RO,1100122.0,182.0
2020-03-25,joinville,SC,4209102.0,186.0
2020-03-25,joão pessoa,PB,2507507.0,185.0
2020-03-25,juazeiro do norte,CE,2307304.0,187.0
2020-03-25,juiz de fora,MG,3136702.0,189.0
2020-03-25,lages,SC,4209300.0,191.0
2020-03-25,londrina,PR,4113700.0,199.0
2020-03-25,macapá,AP,1600303.0,202.0
2020-03-25,maceió,AL,2704302.0,203.0
2020-03-25,manaus,AM,1302603.0,206.0
2020-03-25,marabá,PA,1504208.0,208.0
2020-03-25,maringá,PR,4115200.0,211.0
2020-03-25,mossoró,RN,2408003.0,220.0
2020-03-25,natal,RN,2408102.0,222.0
2020-03-25,palmas,TO,1721000.0,231.0
2020-03-25,parintins,AM,1303403.0,238.0
2020-03-25,petrolina,PE,2611101.0,253.0
2020-03-25,ponta grossa,PR,4119905.0,264.0
2020-03-25,porto alegre,RS,4314902.0,267.0
2020-03-25,porto seguro,BA,2925303.0,268.0
2020-03-25,porto velho,RO,1100205.0,269.0
2020-03-25,recife,PE,2611606.0,278.0
2020-03-25,rio branco,AC,1200401.0,282.0
2020-03-25,rio verde,GO,5218805.0,287.0
2020-03-25,rio de janeiro,RJ,3304557.0,284.0
2020-03-25,salvador,BA,2927408.0,291.0
2020-03-25,serra,ES,3205002.0,363.0
2020-03-25,são josé do rio preto,SP,3549805.0,311.0
2020-03-25,são josé dos campos,SP,3549904.0,312.0
2020-03-25,são luís,MA,2111300.0,314.0
2020-03-25,são paulo,SP,3550308.0,316.0
2020-03-25,teixeira de freitas,BA,2931350.0,334.0
2020-03-25,teresina,PI,2211001.0,336.0
2020-03-25,uberaba,MG,3170107.0,351.0
2020-03-25,uberlândia,MG,3170206.0,352.0
2020-03-26,aracaju,SE,2800308.0,19.0
2020-03-26,barreiras,BA,2903201.0,38.0
2020-03-26,belo horizonte,MG,3106200.0,42.0
2020-03-26,belém,PA,1501402.0,41.0
2020-03-26,boa vista,RR,1400100.0,47.0
2020-03-26,brasília,DF,5300108.0,53.0
2020-03-26,caxias do sul,RS,4305108.0,84.0
2020-03-26,chapecó,SC,4204202.0,88.0
2020-03-26,cuiabá,MT,5103403.0,98.0
2020-03-26,curitiba,PR,4106902.0,100.0
2020-03-26,feira de santana,BA,2910800.0,107.0
2020-03-26,florianópolis,SC,4205407.0,110.0
2020-03-26,fortaleza,CE,2304400.0,111.0
2020-03-26,foz do iguaçu,PR,4108304.0,140.0
2020-03-26,goiânia,GO,5208707.0,117.0
2020-03-26,ilhéus,BA,2913606.0,126.0
2020-03-26,itaituba,PA,1503606.0,541.0
2020-03-26,itajaí,SC,4208203.0,160.0
2020-03-26,jaguaruna,SC,4208807.0,551.0
2020-03-26,ji-paraná,RO,1100122.0,182.0
2020-03-26,joinville,SC,4209102.0,186.0
2020-03-26,joão pessoa,PB,2507507.0,185.0
2020-03-26,juazeiro do norte,CE,2307304.0,187.0
2020-03-26,juiz de fora,MG,3136702.0,189.0
2020-03-26,lages,SC,4209300.0,191.0
2020-03-26,londrina,PR,4113700.0,199.0
2020-03-26,macapá,AP,1600303.0,202.0
2020-03-26,maceió,AL,2704302.0,203.0
2020-03-26,manaus,AM,1302603.0,206.0
2020-03-26,marabá,PA,1504208.0,208.0
2020-03-26,maringá,PR,4115200.0,211.0
2020-03-26,mossoró,RN,2408003.0,220.0
2020-03-26,natal,RN,2408102.0,222.0
2020-03-26,palmas,TO,1721000.0,231.0
2020-03-26,parintins,AM,1303403.0,238.0
2020-03-26,passo fundo,RS,4314100.0,240.0
2020-03-26,petrolina,PE,2611101.0,253.0
2020-03-26,ponta grossa,PR,4119905.0,264.0
2020-03-26,porto alegre,RS,4314902.0,267.0
2020-03-26,porto seguro,BA,2925303.0,268.0
2020-03-26,porto velho,RO,1100205.0,269.0
2020-03-26,recife,PE,2611606.0,278.0
2020-03-26,ribeirão preto,SP,3543402.0,281.0
2020-03-26,rio branco,AC,1200401.0,282.0
2020-03-26,rio verde,GO,5218805.0,287.0
2020-03-26,rio de janeiro,RJ,3304557.0,284.0
2020-03-26,salvador,BA,2927408.0,291.0
2020-03-26,serra,ES,3205002.0,363.0
2020-03-26,são josé do rio preto,SP,3549805.0,311.0
2020-03-26,são josé dos campos,SP,3549904.0,312.0
2020-03-26,são luís,MA,2111300.0,314.0
