Cidades,Geocode
caxias do sul,1502939.0
cianorte,1502954.0
curitiba,1503044.0
divinópolis,1503077.0
feira de santana,1503093.0
ferraz de vasconcelos,1503200.0
florianópolis,1503309.0
goiânia,1503408.0
ipatinga,1503457.0
joinville,1503507.0
juiz de fora,1503606.0
maceió,1503705.0
manaus,1503754.0
natal,1503804.0
niterói,1504059.0
patrocínio,1504109.0
porto alegre,1504208.0
rancho queimado,1504307.0
recife,1504406.0
rio verde,1504422.0
rio de janeiro,1504455.0
salvador,1504604.0
santana de parnaíba,1504703.0
são paulo,1504752.0
anápolis,1504802.0
aquiraz,1504950.0
aracaju,1504976.0
barra mansa,1505007.0
belo horizonte,1505031.0
brasília,1505064.0
braço do norte,1505106.0
campo bom,1505304.0
campo grande,1505403.0
caxias do sul,1505437.0
cianorte,1505486.0
curitiba,1505494.0
divinópolis,1505502.0
feira de santana,1505536.0
ferraz de vasconcelos,1505551.0
florianópolis,1505601.0
fortaleza,1505635.0
goiânia,1505650.0
ipatinga,1506005.0
joinville,1506104.0
juiz de fora,1506112.0
maceió,1506138.0
manaus,1506161.0
mauá,1506187.0
natal,1506195.0
niterói,1506203.0
patrocínio,1506302.0
porto alegre,1506351.0
porto seguro,1506500.0
rancho queimado,1506559.0
recife,1506583.0
rio verde,1506609.0
rio de janeiro,1506708.0
salvador,1506807.0
santana de parnaíba,1506906.0
santo andré,1507003.0
são bernardo do campo,1507102.0
são caetano do sul,1507151.0
são paulo,1507201.0
anápolis,1507300.0
aquiraz,1507409.0
aracaju,1507458.0
barra mansa,1507466.0
belo horizonte,1507474.0
belo jardim,1507508.0
brasília,1507607.0
braço do norte,1507755.0
campo bom,1507805.0
campo grande,1507904.0
campo largo,1507953.0
caxias do sul,1507961.0
cianorte,1508001.0
coronel fabriciano,1508035.0
curitiba,1508050.0
divinópolis,1508084.0
feira de santana,1508100.0
ferraz de vasconcelos,1508126.0
florianópolis,1508159.0
fortaleza,1508209.0
goiânia,1508308.0
guarulhos,1508407.0
ipatinga,1600055.0
jaboatão dos guararapes,1600105.0
joinville,1600154.0
juiz de fora,1600204.0
londrina,1600212.0
maceió,1600238.0
manaus,1600253.0
mauá,1600279.0
natal,1600303.0
niterói,1600402.0
nova lima,1600501.0
patrocínio,1600535.0
porto alegre,1600550.0
porto seguro,1600600.0
prado,1600709.0
rancho queimado,1600808.0
recife,1700251.0
rio branco,1700301.0
rio verde,1700350.0
rio de janeiro,1700400.0
salvador,1700707.0
santana de parnaíba,1701002.0
santo andré,1701051.0
sete lagoas,1701101.0
são bernardo do campo,1701309.0
são caetano do sul,1701903.0
são paulo,1702000.0
uberlândia,1702109.0
anápolis,1702158.0
aparecida de goiânia,1702208.0
aquiraz,1702307.0
aracaju,1702406.0
balneário camboriú,1702554.0
barra mansa,1702703.0
barueri,1702901.0
belo horizonte,1703008.0
belo jardim,1703057.0
belém,1703073.0
brasília,1703107.0
braço do norte,1703206.0
campinas,1703305.0
campo bom,1703602.0
campo grande,1703701.0
campo largo,1703800.0
caxias do sul,1703826.0
cianorte,1703842.0
coronel fabriciano,1703867.0
cotia,1703883.0
curitiba,1703891.0
divinópolis,1703909.0
feira de santana,1704105.0
ferraz de vasconcelos,1704600.0
florianópolis,1705102.0
fortaleza,1705508.0
foz do iguaçu,1705557.0
goiânia,1705607.0
guapimirim,1706001.0
guarulhos,1706100.0
ipatinga,1706258.0
jaboatão dos guararapes,1706506.0
jaguariúna,1707009.0
jataí,1707108.0
joinville,1707207.0
joão pessoa,1707306.0
juiz de fora,1707405.0
londrina,1707553.0
maceió,1707652.0
manaus,1707702.0
maringá,1708205.0
natal,1708304.0
niterói,1709005.0
nova lima,1709302.0
osasco,1709500.0
palmas,1710508.0
patrocínio,1710706.0
porto alegre,1710904.0
porto seguro,1711100.0
prado,1711506.0
propriá,1711803.0
rancho queimado,1711902.0
recife,1711951.0
rio branco,1712009.0
rio verde,1712157.0
rio de janeiro,1712405.0
salvador,1712454.0
santana de parnaíba,1712504.0
santo andré,1712702.0
sapiranga,1712801.0
sete lagoas,1713205.0
sobral,1713304.0
são bernardo do campo,1713601.0
são caetano do sul,1713700.0
são josé do rio preto,1713809.0
são josé dos campos,1713957.0
são paulo,1714203.0
tubarão,1714302.0
uberlândia,1714880.0
alvorada,1715002.0
anápolis,1715101.0
aparecida de goiânia,1715150.0
aquiraz,1715259.0
aracaju,1715507.0
bagé,1715705.0
balneário camboriú,1715754.0
barra mansa,1716109.0
barueri,1716208.0
belo horizonte,1716307.0
belo jardim,1716505.0
belém,1716604.0
brasília,1716653.0
braço do norte,1716703.0
campinas,1717008.0
campo bom,1717206.0
campo grande,1717503.0
campo largo,1717800.0
caxias do sul,1717909.0
cianorte,1718006.0
coronel fabriciano,1718204.0
cotia,1718303.0
curitiba,1718402.0
divinópolis,1718451.0
erechim,1718501.0
farroupilha,1718550.0
feira de santana,1718709.0
ferraz de vasconcelos,1718758.0
florianópolis,1718840.0
fortaleza,1718865.0
foz do iguaçu,1718881.0
goiânia,1718899.0
guapimirim,1718907.0
guarulhos,1719004.0
ipatinga,1720002.0
itabuna,1720101.0
jaboatão dos guararapes,1720200.0
jaguariúna,1720259.0
jataí,1720309.0
joinville,1720499.0
joão pessoa,1720655.0
juiz de fora,1720804.0
linhares,1720853.0
londrina,1720903.0
maceió,1720937.0
manaus,1720978.0
maringá,1721000.0
mauá,1721109.0
miguel pereira,1721208.0
natal,1721307.0
niterói,1722081.0
nova lima,1722107.0
osasco,2100055.0
palmas,2100105.0
patrocínio,2100154.0
porto alegre,2100204.0
porto seguro,2100303.0
prado,2100402.0
propriá,2100436.0
rancho queimado,2100477.0
recife,2100501.0
rio branco,2100550.0
rio verde,2100600.0
rio de janeiro,2100709.0
salvador,2100808.0
santana de parnaíba,2100832.0
santo andré,2100873.0
sapiranga,2100907.0
sete lagoas,2100956.0
sidrolândia,2101004.0
sobral,2101103.0
suzano,2101202.0
são bernardo do campo,2101251.0
são caetano do sul,2101301.0
são josé do rio preto,2101350.0
são josé dos campos,2101400.0
são josé,2101509.0
são paulo,2101608.0
taquara,2101707.0
taubaté,2101731.0
teresina,2101772.0
tubarão,2101806.0
uberlândia,2101905.0
vargem grande paulista,2101939.0
vila velha,2101970.0
vitória,2102002.0
alvorada,2102036.0
anápolis,2102077.0
aparecida de goiânia,2102101.0
aquiraz,2102150.0
aracaju,2102200.0
bagé,2102309.0
balneário camboriú,2102325.0
barra mansa,2102358.0
barueri,2102374.0
belo horizonte,2102408.0
belo jardim,2102507.0
belém,2102556.0
bento gonçalves,2102606.0
brasília,2102705.0
braço do norte,2102754.0
cachoeiro de itapemirim,2102804.0
camaçari,2102903.0
campinas,2103000.0
campo bom,2103109.0
campo grande,2103125.0
campo largo,2103158.0
cariacica,2103174.0
caxias do sul,2103208.0
chapecó,2103257.0
cianorte,2103307.0
coronel fabriciano,2103406.0
cotia,2103505.0
criciúma,2103554.0
cuiabá,2103604.0
curitiba,2103703.0
divinópolis,2103802.0
erechim,2103901.0
farroupilha,2104008.0
feira de santana,2104057.0
ferraz de vasconcelos,2104073.0
florianópolis,2104081.0
fortaleza,2104099.0
fortim,2104107.0
foz do iguaçu,2104206.0
goiânia,2104305.0
guapimirim,2104404.0
guarulhos,2104503.0
guaíra,2104552.0
hortolândia,2104602.0
imbituba,2104628.0
ipatinga,2104651.0
itabuna,2104677.0
ivoti,2104701.0
jaboatão dos guararapes,2104800.0
jaguariúna,2104909.0
jaraguá do sul,2105005.0
jataí,2105104.0
ji-paraná,2105153.0
joinville,2105203.0
joão pessoa,2105302.0
juazeiro do norte,2105351.0
juiz de fora,2105401.0
linhares,2105427.0
londrina,2105450.0
macapá,2105476.0
maceió,2105500.0
manaus,2105609.0
mariana,2105658.0
maringá,2105708.0
mauá,2105807.0
miguel pereira,2105906.0
mogi das cruzes,2105922.0
natal,2105948.0
navegantes,2105963.0
niterói,2105989.0
nova lima,2106003.0
osasco,2106102.0
palmas,2106201.0
parnamirim,2106300.0
patrocínio,2106326.0
pomerode,2106359.0
porto alegre,2106375.0
porto seguro,2106508.0
poços de caldas,2106607.0
prado,2106631.0
propriá,2106672.0
rancho queimado,2106706.0
recife,2106755.0
rio branco,2106805.0
rio verde,2106904.0
rio de janeiro,2107001.0
salvador,2107100.0
sant'ana do livramento,2107209.0
santana de parnaíba,2107258.0
santo andré,2107308.0
sapiranga,2107357.0
sete lagoas,2107407.0
sidrolândia,2107456.0
sobral,2107605.0
suzano,2107704.0
são bernardo do campo,2107803.0
são caetano do sul,2107902.0
são josé do rio preto,2108009.0
são josé dos campos,2108058.0
são josé,2108108.0
são luís,2108207.0
são paulo,2108256.0
taquara,2108306.0
taubaté,2108405.0
teresina,2108454.0
tubarão,2108504.0
uberaba,2108603.0
uberlândia,2108702.0
vargem grande paulista,2108801.0
vila velha,2108900.0
vitória,2109007.0
alvorada,2109056.0
anápolis,2109106.0
aparecida de goiânia,2109205.0
aquiraz,2109239.0
aracaju,2109270.0
bagé,2109304.0
balneário camboriú,2109403.0
barra mansa,2109502.0
barueri,2109551.0
belo horizonte,2109601.0
belo jardim,2109700.0
belém,2109759.0
bento gonçalves,2109809.0
boa vista,2109908.0
brasília,2110005.0
braço do norte,2110039.0
cachoeiro de itapemirim,2110104.0
camaçari,2110203.0
campinas,2110278.0
campo bom,2110302.0
campo grande,2110401.0
campo largo,2110500.0
canoas,2110609.0
cariacica,2110658.0
carlos barbosa,2110708.0
caxias do sul,2110807.0
chapecó,2110856.0
charqueadas,2110906.0
cianorte,2111003.0
coronel fabriciano,2111052.0
cotia,2111078.0
criciúma,2111102.0
cuiabá,2111201.0
curitiba,2111250.0
divinópolis,2111300.0
dois irmãos,2111409.0
eldorado do sul,2111508.0
erechim,2111532.0
estrela,2111573.0
farroupilha,2111607.0
feira de santana,2111631.0
ferraz de vasconcelos,2111672.0
florianópolis,2111706.0
fortaleza,2111722.0
fortim,2111748.0
foz do iguaçu,2111763.0
goiânia,2111789.0
gravatal,2111805.0
guapimirim,2111904.0
guarulhos,2111953.0
guaíra,2112001.0
hortolândia,2112100.0
imbituba,2112209.0
ipatinga,2112233.0
itabuna,2112308.0
itajaí,2112407.0
ivoti,2112456.0
jaboatão dos guararapes,2112506.0
jaguariúna,2112605.0
jaguaruna,2112704.0
jaraguá do sul,2112803.0
jataí,2112852.0
ji-paraná,2112902.0
joinville,2113009.0
joão pessoa,2114007.0
juazeiro do norte,2200053.0
juiz de fora,2200103.0
lajeado,2200202.0
linhares,2200251.0
londrina,2200277.0
macapá,2200301.0
maceió,2200400.0
manaus,2200459.0
mariana,2200509.0
maringá,2200608.0
mauá,2200707.0
miguel pereira,2200806.0
mogi das cruzes,2200905.0
mossoró,2200954.0
natal,2201002.0
navegantes,2201051.0
niterói,2201101.0
nossa senhora da glória,2201150.0
nova lima,2201176.0
osasco,2201200.0
palmas,2201309.0
parnamirim,2201408.0
pato branco,2201507.0
patrocínio,2201556.0
petrópolis,2201572.0
pomerode,2201606.0
ponta grossa,2201705.0
ponta porã,2201739.0
porto alegre,2201770.0
porto seguro,2201804.0
porto velho,2201903.0
poços de caldas,2201919.0
prado,2201929.0
propriá,2201945.0
rancho queimado,2201960.0
recife,2201988.0
rio branco,2202000.0
rio verde,2202026.0
rio de janeiro,2202059.0
salvador,2202075.0
sant'ana do livramento,2202083.0
santana de parnaíba,2202091.0
santo andré,2202109.0
sapiranga,2202117.0
serafina corrêa,2202133.0
sete lagoas,2202174.0
sidrolândia,2202208.0
sobral,2202251.0
suzano,2202307.0
são bernardo do campo,2202406.0
são caetano do sul,2202455.0
são josé do rio preto,2202505.0
são josé dos campos,2202539.0
são josé,2202554.0
são leopoldo,2202604.0
são luís,2202653.0
são paulo,2202703.0
taquara,2202711.0
taubaté,2202729.0
teresina,2202737.0
torres,2202752.0
tubarão,2202778.0
uberaba,2202802.0
uberlândia,2202851.0
umuarama,2202901.0
vargem grande paulista,2203008.0
vila velha,2203107.0
vitória,2203206.0
alvorada,2203255.0
anápolis,2203271.0
aparecida de goiânia,2203305.0
aquiraz,2203354.0
aracaju,2203404.0
bagé,2203420.0
balneário camboriú,2203453.0
barra mansa,2203503.0
barreiras,2203602.0
barueri,2203701.0
belo horizonte,2203750.0
belo jardim,2203800.0
belém,2203859.0
bento gonçalves,2203909.0
blumenau,2204006.0
boa vista,2204105.0
brasília,2204154.0
braço do norte,2204204.0
cachoeiro de itapemirim,2204303.0
camaçari,2204352.0
campinas,2204402.0
campo bom,2204501.0
campo grande,2204550.0
campo largo,2204600.0
canoas,2204659.0
cariacica,2204709.0
carlos barbosa,2204808.0
catalão,2204907.0
caxias do sul,2205003.0
chapecó,2205102.0
charqueadas,2205151.0
cianorte,2205201.0
conceição do jacuípe,2205250.0
coronel fabriciano,2205276.0
cotia,2205300.0
criciúma,2205359.0
cuiabá,2205409.0
curitiba,2205458.0
divinópolis,2205508.0
dois irmãos,2205516.0
eldorado do sul,2205524.0
erechim,2205532.0
estrela,2205540.0
estância velha,2205557.0
farroupilha,2205565.0
feira de santana,2205573.0
ferraz de vasconcelos,2205581.0
florianópolis,2205599.0
fortaleza,2205607.0
fortim,2205706.0
foz do iguaçu,2205805.0
goiânia,2205854.0
gravatal,2205904.0
guapimirim,2205953.0
guarulhos,2206001.0
guaíra,2206050.0
hortolândia,2206100.0
imbituba,2206209.0
ipatinga,2206308.0
itabuna,2206357.0
itajaí,2206407.0
ivoti,2206506.0
jaboatão dos guararapes,2206605.0
jaguariúna,2206654.0
jaguaruna,2206670.0
jaraguá do sul,2206696.0
jataí,2206704.0
ji-paraná,2206720.0
joinville,2206753.0
joão pessoa,2206803.0
juazeiro do norte,2206902.0
juiz de fora,2206951.0
lages,2207009.0
lajeado,2207108.0
linhares,2207207.0
londrina,2207306.0
macapá,2207355.0
maceió,2207405.0
manaus,2207504.0
mariana,2207553.0
maringá,2207603.0
mauá,2207702.0
miguel pereira,2207751.0
mogi das cruzes,2207777.0
mossoró,2207793.0
natal,2207801.0
navegantes,2207900.0
niterói,2207934.0
nossa senhora da glória,2207959.0
nova lima,2208007.0
osasco,2208106.0
palmas,2208205.0
parnamirim,2208304.0
pato branco,2208403.0
patrocínio,2208502.0
petrópolis,2208551.0
pomerode,2208601.0
ponta grossa,2208650.0
ponta porã,2208700.0
porto alegre,2208809.0
porto seguro,2208858.0
porto velho,2208874.0
poços de caldas,2208908.0
prado,2209005.0
propriá,2209104.0
rancho queimado,2209153.0
recife,2209203.0
rio branco,2209302.0
rio verde,2209351.0
rio de janeiro,2209377.0
salvador,2209401.0
sant'ana do livramento,2209450.0
santa maria,2209500.0
santana de parnaíba,2209559.0
santo andré,2209609.0
santo antônio da patrulha,2209658.0
sapiranga,2209708.0
serafina corrêa,2209757.0
sete lagoas,2209807.0
sidrolândia,2209856.0
sobral,2209872.0
suzano,2209906.0
são bernardo do campo,2209955.0
são caetano do sul,2209971.0
são josé do rio preto,2210003.0
são josé dos campos,2210052.0
são josé,2210102.0
são leopoldo,2210201.0
são luís,2210300.0
são paulo,2210359.0
taquara,2210375.0
taubaté,2210383.0
teresina,2210391.0
torres,2210409.0
tubarão,2210508.0
uberaba,2210607.0
uberlândia,2210623.0
umuarama,2210631.0
vargem grande paulista,2210656.0
vila velha,2210706.0
vitória,2210805.0
alvorada,2210904.0
anápolis,2210938.0
aparecida de goiânia,2210953.0
aquiraz,2210979.0
aracaju,2211001.0
bagé,2211100.0
balneário camboriú,2211209.0
barra mansa,2211308.0
barreiras,2211357.0
barueri,2211407.0
belo horizonte,2211506.0
belo jardim,2211605.0
belém,2211704.0
bento gonçalves,2300101.0
betim,2300150.0
blumenau,2300200.0
boa vista,2300309.0
bom despacho,2300408.0
brasília,2300507.0
braço do norte,2300606.0
brumado,2300705.0
cachoeiro de itapemirim,2300754.0
camaçari,2300804.0
campinas,2300903.0
campo bom,2301000.0
campo grande,2301109.0
campo largo,2301208.0
campos altos,2301257.0
canoas,2301307.0
capão da canoa,2301406.0
cariacica,2301505.0
carlos barbosa,2301604.0
caruaru,2301703.0
cascavel,2301802.0
catalão,2301851.0
caxias do sul,2301901.0
chapecó,2301950.0
charqueadas,2302008.0
cianorte,2302057.0
conceição do jacuípe,2302107.0
contagem,2302206.0
coronel fabriciano,2302305.0
cotia,2302404.0
criciúma,2302503.0
cruzeiro do sul,2302602.0
cuiabá,2302701.0
curitiba,2302800.0
divinópolis,2302909.0
dois irmãos,2303006.0
eldorado do sul,2303105.0
erechim,2303204.0
estrela,2303303.0
estância velha,2303402.0
farroupilha,2303501.0
feira de santana,2303600.0
ferraz de vasconcelos,2303659.0
florianópolis,2303709.0
fortaleza,2303808.0
fortim,2303907.0
foz do iguaçu,2303931.0
gaspar,2303956.0
goiânia,2304004.0
gravatal,2304103.0
guapimirim,2304202.0
guarulhos,2304236.0
guaíra,2304251.0
hortolândia,2304269.0
imbituba,2304285.0
ipatinga,2304301.0
itabuna,2304350.0
itajaí,2304400.0
ivoti,2304459.0
jaboatão dos guararapes,2304509.0
jaguariúna,2304608.0
jaguaruna,2304657.0
jaraguá do sul,2304707.0
jataí,2304806.0
jequié,2304905.0
ji-paraná,2304954.0
joinville,2305001.0
joão pessoa,2305100.0
juazeiro do norte,2305209.0
juazeiro,2305233.0
juiz de fora,2305266.0
lages,2305308.0
lagoa da prata,2305332.0
lajeado,2305357.0
linhares,2305407.0
londrina,2305506.0
macapá,2305605.0
maceió,2305654.0
manaus,2305704.0
marabá,2305803.0
mariana,2305902.0
maringá,2306009.0
mauá,2306108.0
miguel pereira,2306207.0
mogi das cruzes,2306256.0
mossoró,2306306.0
natal,2306405.0
navegantes,2306504.0
niterói,2306553.0
nossa senhora da glória,2306603.0
nova lima,2306702.0
osasco,2306801.0
osório,2306900.0
palmas,2307007.0
parnamirim,2307106.0
pato branco,2307205.0
patrocínio,2307254.0
petrolina,2307304.0
petrópolis,2307403.0
pomerode,2307502.0
ponta grossa,2307601.0
ponta porã,2307635.0
porto alegre,2307650.0
porto belo,2307700.0
porto seguro,2307809.0
porto velho,2307908.0
poços de caldas,2308005.0
prado,2308104.0
propriá,2308203.0
rancho queimado,2308302.0
recife,2308351.0
rio branco,2308377.0
rio grande,2308401.0
rio verde,2308500.0
rio de janeiro,2308609.0
salvador,2308708.0
sant'ana do livramento,2308807.0
santa maria,2308906.0
santa teresa,2309003.0
santana de parnaíba,2309102.0
santiago,2309201.0
santo andré,2309300.0
santo antônio da patrulha,2309409.0
sapiranga,2309458.0
serafina corrêa,2309508.0
serra,2309607.0
sete lagoas,2309706.0
sidrolândia,2309805.0
sobral,2309904.0
suzano,2310001.0
são bernardo do campo,2310100.0
são caetano do sul,2310209.0
são gonçalo,2310258.0
são josé do rio preto,2310308.0
são josé dos campos,2310407.0
são josé,2310506.0
são leopoldo,2310605.0
são luís,2310704.0
são paulo,2310803.0
taquara,2310852.0
taubaté,2310902.0
teresina,2310951.0
timóteo,2311009.0
torres,2311108.0
tubarão,2311207.0
uberaba,2311231.0
uberlândia,2311264.0
umuarama,2311306.0
vargem grande paulista,2311355.0
viamão,2311405.0
vila velha,2311504.0
vitória,2311603.0
várzea grande,2311702.0
alvorada,2311801.0
anta gorda,2311900.0
anápolis,2311959.0
aparecida de goiânia,2312007.0
aquiraz,2312106.0
aracaju,2312205.0
bagé,2312304.0
balneário camboriú,2312403.0
barra mansa,2312502.0
barreiras,2312601.0
barueri,2312700.0
belo horizonte,2312809.0
belo jardim,2312908.0
belém,2313005.0
bento gonçalves,2313104.0
betim,2313203.0
blumenau,2313252.0
boa vista,2313302.0
bom despacho,2313351.0
bonfim,2313401.0
brasília,2313500.0
braço do norte,2313559.0
brumado,2313609.0
cachoeiro de itapemirim,2313708.0
camaquã,2313757.0
camaçari,2313807.0
campinas,2313906.0
campo bom,2313955.0
campo grande,2314003.0
campo largo,2314102.0
campos altos,2400109.0
campos dos goytacazes,2400208.0
canoas,2400307.0
capão da canoa,2400406.0
cariacica,2400505.0
carlos barbosa,2400604.0
caruaru,2400703.0
cascavel,2400802.0
catalão,2400901.0
caxias do sul,2401008.0
chapecó,2401107.0
charqueadas,2401206.0
cianorte,2401305.0
conceição do jacuípe,2401404.0
conde,2401453.0
contagem,2401503.0
coronel fabriciano,2401602.0
cotia,2401701.0
criciúma,2401800.0
cruzeiro do sul,2401859.0
cuiabá,2401909.0
curitiba,2402006.0
divinópolis,2402105.0
dois irmãos,2402204.0
duque de caxias,2402303.0
eldorado do sul,2402402.0
erechim,2402600.0
estrela,2402709.0
estância velha,2402808.0
farroupilha,2402907.0
feira de santana,2403004.0
ferraz de vasconcelos,2403103.0
florianópolis,2403202.0
fortaleza,2403251.0
fortim,2403301.0
foz do iguaçu,2403400.0
garibaldi,2403509.0
gaspar,2403707.0
goiânia,2403756.0
gravatal,2403806.0
guapimirim,2403905.0
guarulhos,2404002.0
guaíra,2404101.0
hortolândia,2404200.0
igaracy,2404309.0
imbituba,2404408.0
ipatinga,2404507.0
itabuna,2404606.0
itajaí,2404705.0
ivoti,2404804.0
jaboatão dos guararapes,2404853.0
jaguariúna,2404903.0
jaguaruna,2405009.0
jaraguá do sul,2405108.0
jataí,2405207.0
jequié,2405504.0
ji-paraná,2405603.0
joinville,2405702.0
joão pessoa,2405801.0
juazeiro do norte,2405900.0
juazeiro,2406007.0
juiz de fora,2406106.0
lages,2406155.0
lagoa da prata,2406205.0
laguna,2406304.0
lajeado,2406502.0
linhares,2406601.0
londrina,2406700.0
macapá,2406809.0
maceió,2406908.0
manaus,2407005.0
marabá,2407104.0
mariana,2407203.0
maringá,2407252.0
mauriti,2407302.0
mauá,2407401.0
miguel pereira,2407500.0
mogi das cruzes,2407609.0
mossoró,2407708.0
natal,2407807.0
navegantes,2407906.0
niterói,2408003.0
nossa senhora da glória,2408102.0
nova lima,2408300.0
osasco,2408508.0
osório,2408607.0
palmas,2408706.0
paranavaí,2408805.0
paraí,2408904.0
parnamirim,2408953.0
pato branco,2409100.0
patrocínio,2409209.0
petrolina,2409308.0
petrópolis,2409332.0
pomerode,2409407.0
ponta grossa,2409506.0
ponta porã,2409605.0
porto alegre,2409704.0
porto belo,2409803.0
porto seguro,2409902.0
porto velho,2410009.0
poços de caldas,2410108.0
prado,2410207.0
propriá,2410256.0
rancho queimado,2410306.0
recife,2410405.0
rio branco,2410504.0
rio grande,2410603.0
rio verde,2410702.0
rio de janeiro,2410801.0
salvador,2410900.0
sant'ana do livramento,2411007.0
santa maria,2411056.0
santa teresa,2411205.0
santana de parnaíba,2411403.0
santiago,2411429.0
santo andré,2411502.0
santo antônio da patrulha,2411601.0
sapiranga,2411700.0
serafina corrêa,2411809.0
serra,2411908.0
sete lagoas,2412005.0
sidrolândia,2412104.0
sobral,2412203.0
suzano,2412302.0
são bernardo do campo,2412401.0
são caetano do sul,2412500.0
são gonçalo,2412559.0
são josé do rio preto,2412609.0
são josé dos campos,2412807.0
são josé,2412906.0
são leopoldo,2413003.0
são luís,2413102.0
são paulo,2413201.0
taquara,2413300.0
taubaté,2413359.0
teixeira de freitas,2413409.0
telêmaco borba,2413508.0
teresina,2413557.0
tijucas,2413607.0
timóteo,2413805.0
torres,2413904.0
tubarão,2414001.0
uberaba,2414100.0
uberlândia,2414159.0
umuarama,2414209.0
valparaíso de goiás,2414308.0
vargem grande paulista,2414407.0
viamão,2414456.0
vila velha,2414506.0
vitória,2414605.0
volta redonda,2414704.0
várzea grande,2414753.0
alvorada,2414803.0
ananindeua,2414902.0
anta gorda,2500106.0
anápolis,2500205.0
aparecida de goiânia,2500304.0
aquiraz,2500403.0
aracaju,2500502.0
bagé,2500536.0
balneário camboriú,2500577.0
barra mansa,2500601.0
barreiras,2500700.0
barueri,2500734.0
belo horizonte,2500775.0
belo jardim,2500809.0
belém,2500908.0
bento gonçalves,2501005.0
betim,2501104.0
blumenau,2501153.0
boa vista,2501203.0
bom despacho,2501302.0
bonfim,2501351.0
brasília,2501401.0
braço do norte,2501500.0
brumado,2501534.0
cachoeiro de itapemirim,2501575.0
camaquã,2501609.0
camaçari,2501708.0
camboriú,2501807.0
campinas,2501906.0
campo bom,2502003.0
campo grande,2502052.0
campo largo,2502102.0
campo mourão,2502151.0
campos altos,2502300.0
campos dos goytacazes,2502409.0
canarana,2502508.0
canelinha,2502607.0
canoas,2502706.0
capão da canoa,2502805.0
cariacica,2502904.0
carlos barbosa,2503001.0
caruaru,2503100.0
cascavel,2503209.0
catalão,2503308.0
caxias do sul,2503407.0
cerro grande do sul,2503506.0
chapecó,2503555.0
charqueadas,2503605.0
cianorte,2503704.0
conceição do jacuípe,2503753.0
