Cidades,Geocode
são paulo,1100015.0
são paulo,1100023.0
são paulo,1100031.0
são paulo,1100049.0
são paulo,1100056.0
são paulo,1100064.0
são paulo,1100072.0
são paulo,1100080.0
são paulo,1100098.0
barra mansa,1100106.0
são paulo,1100114.0
barra mansa,1100122.0
feira de santana,1100130.0
rio de janeiro,1100148.0
são paulo,1100155.0
barra mansa,1100189.0
brasília,1100205.0
feira de santana,1100254.0
rio de janeiro,1100288.0
santana de parnaíba,1100296.0
são paulo,1100304.0
barra mansa,1100320.0
brasília,1100338.0
divinópolis,1100346.0
feira de santana,1100379.0
maceió,1100403.0
rio de janeiro,1100452.0
santana de parnaíba,1100502.0
são paulo,1100601.0
barra mansa,1100700.0
brasília,1100809.0
divinópolis,1100908.0
feira de santana,1100924.0
maceió,1100940.0
rio de janeiro,1101005.0
santana de parnaíba,1101104.0
são paulo,1101203.0
barra mansa,1101302.0
brasília,1101401.0
campo bom,1101435.0
divinópolis,1101468.0
feira de santana,1101476.0
maceió,1101484.0
rio de janeiro,1101492.0
santana de parnaíba,1101500.0
são paulo,1101559.0
barra mansa,1101609.0
brasília,1101708.0
campo bom,1101757.0
divinópolis,1101807.0
feira de santana,1200013.0
maceió,1200054.0
porto alegre,1200104.0
rio de janeiro,1200138.0
santana de parnaíba,1200179.0
são paulo,1200203.0
barra mansa,1200302.0
brasília,1200336.0
campo bom,1200385.0
caxias do sul,1200401.0
cianorte,1200427.0
curitiba,1200450.0
divinópolis,1200500.0
feira de santana,1200609.0
ferraz de vasconcelos,1200708.0
florianópolis,1200807.0
goiânia,1300144.0
ipatinga,1300706.0
maceió,1301100.0
natal,1301654.0
niterói,1301704.0
porto alegre,1301852.0
recife,1301902.0
rio verde,1302009.0
rio de janeiro,1302405.0
santana de parnaíba,1302504.0
são paulo,1302553.0
barra mansa,1302603.0
brasília,1302702.0
campo bom,1303205.0
caxias do sul,1303304.0
cianorte,1303536.0
curitiba,1303569.0
divinópolis,1304005.0
feira de santana,1400027.0
ferraz de vasconcelos,1400050.0
florianópolis,1400100.0
goiânia,1400159.0
ipatinga,1400175.0
joinville,1400209.0
maceió,1400233.0
manaus,1400282.0
natal,1400308.0
niterói,1400407.0
porto alegre,1400456.0
recife,1400472.0
rio verde,1400506.0
rio de janeiro,1400605.0
salvador,1500107.0
santana de parnaíba,1500131.0
são paulo,1500206.0
aracaju,1500347.0
barra mansa,1500404.0
brasília,1500503.0
campo bom,1500602.0
campo grande,1500800.0
caxias do sul,1500859.0
cianorte,1500909.0
curitiba,1500958.0
divinópolis,1501204.0
feira de santana,1501253.0
ferraz de vasconcelos,1501303.0
florianópolis,1501402.0
goiânia,1501451.0
ipatinga,1501501.0
joinville,1501576.0
juiz de fora,1501600.0
maceió,1501709.0
manaus,1501725.0
natal,1501758.0
niterói,1501782.0
patrocínio,1501907.0
porto alegre,1501956.0
rancho queimado,1502004.0
recife,1502103.0
rio verde,1502152.0
rio de janeiro,1502202.0
salvador,1502301.0
santana de parnaíba,1502400.0
são paulo,1502608.0
aracaju,1502707.0
barra mansa,1502756.0
brasília,1502764.0
braço do norte,1502772.0
campo bom,1502855.0
campo grande,1502905.0
