,Datas,Cidades,Estados,Geocode
133,2020-03-22,barreiras,BA,2903201.0
134,2020-03-22,blumenau,SC,4202404.0
135,2020-03-22,catalão,GO,5205109.0
136,2020-03-22,conceição do jacuípe,BA,2908507.0
137,2020-03-22,estância velha,RS,4307609.0
138,2020-03-22,lages,SC,4209300.0
139,2020-03-22,santa maria,RS,4316907.0
140,2020-03-22,santo antônio da patrulha,RS,4317608.0
141,2020-03-23,betim,MG,3106705.0
142,2020-03-23,bom despacho,MG,3107406.0
143,2020-03-23,brumado,BA,2904605.0
144,2020-03-23,campos altos,MG,3111507.0
145,2020-03-23,capão da canoa,RS,4304630.0
146,2020-03-23,caruaru,PE,2604106.0
147,2020-03-23,cascavel,PR,4104808.0
148,2020-03-23,contagem,MG,3118601.0
149,2020-03-23,cruzeiro do sul,RS,4306205.0
150,2020-03-23,gaspar,SC,4205902.0
151,2020-03-23,igaracy,PB,2502607.0
152,2020-03-23,jequié,BA,2918001.0
153,2020-03-23,juazeiro,BA,2918407.0
154,2020-03-23,lagoa da prata,MG,3137205.0
155,2020-03-23,marabá,PA,1504208.0
156,2020-03-23,osório,RS,4313508.0
157,2020-03-23,petrolina,PE,2611101.0
158,2020-03-23,porto belo,SC,4213500.0
159,2020-03-23,rio grande,RS,4315602.0
160,2020-03-23,santa teresa,ES,3204609.0
161,2020-03-23,santiago,RS,4317400.0
162,2020-03-23,serra,ES,3205002.0
163,2020-03-23,são gonçalo,RJ,3304904.0
164,2020-03-23,timóteo,MG,3168705.0
165,2020-03-23,viamão,RS,4323002.0
166,2020-03-23,várzea grande,MT,5108402.0
167,2020-03-24,anta gorda,RS,4300703.0
168,2020-03-24,bonfim,RR,1400159.0
169,2020-03-24,camaquã,RS,4303509.0
170,2020-03-24,campos dos goytacazes,RJ,3301009.0
171,2020-03-24,conde,BA,2908606.0
172,2020-03-24,duque de caxias,RJ,3301702.0
173,2020-03-24,garibaldi,RS,4308607.0
174,2020-03-24,laguna,SC,4209409.0
175,2020-03-24,mauriti,CE,2308104.0
176,2020-03-24,nova monte verde,MT,5108956.0
177,2020-03-24,paranavaí,PR,4118402.0
178,2020-03-24,paraí,RS,4314001.0
179,2020-03-24,teixeira de freitas,BA,2931350.0
180,2020-03-24,telêmaco borba,PR,4127106.0
181,2020-03-24,tijucas,SC,4218004.0
182,2020-03-24,valparaíso de goiás,GO,5221858.0
183,2020-03-24,volta redonda,RJ,3306305.0
184,2020-03-25,ananindeua,PA,1500800.0
185,2020-03-25,camboriú,SC,4203204.0
186,2020-03-25,campo mourão,PR,4104303.0
187,2020-03-25,canarana,BA,2906204.0
188,2020-03-25,canelinha,SC,4203709.0
189,2020-03-25,cerro grande do sul,RS,4305173.0
190,2020-03-25,dom pedrito,RS,4306601.0
191,2020-03-25,embu das artes,SP,3515004.0
192,2020-03-25,faxinal,PR,4107603.0
193,2020-03-25,gravataí,RS,4309209.0
194,2020-03-25,ilhéus,BA,2913606.0
195,2020-03-25,iracemápolis,SP,3521408.0
196,2020-03-25,jundiaí,SP,3525904.0
197,2020-03-25,luziânia,GO,5212501.0
198,2020-03-25,pelotas,RS,4314407.0
199,2020-03-25,porto real do colégio,AL,2707503.0
200,2020-03-25,poá,SP,3539806.0
201,2020-03-25,resende,RJ,3304201.0
202,2020-03-25,ribeirão pires,SP,3543303.0
203,2020-03-25,rio claro,SP,3543907.0
204,2020-03-25,silvânia,GO,5220603.0
205,2020-03-25,são domingos,BA,2928950.0
206,2020-03-25,são ludgero,SC,4217006.0
207,2020-03-25,são sebastião,SP,3550704.0
208,2020-03-25,taboão da serra,SP,3552809.0
209,2020-03-25,valença,RJ,3306107.0
210,2020-03-25,valinhos,SP,3556206.0
211,2020-03-26,alagoinhas,BA,2900702.0
